max_superdroplets,time_s,metric,n_members,estimate,95ci_low,95ci_high,95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
512,3600.0,ensemble_mean_l1_bins_1000,20,0.36098654252955775,0.4112554696764224,0.5457818737883221,0.06726320205594985,0.05,0.01,False,False
512,3600.0,golovin_relative_error_radius_moment_0_m3,20,0.035745326118735085,0.005122529067308146,0.06636812317016202,0.03062279705142694,0.05,0.025,False,False
512,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.25479460934783854,-0.3984712099720885,-0.11111800872358857,0.14367660062424997,0.1,0.05,False,False
1024,600.0,ensemble_mean_l1_bins_250,20,0.07127735381136174,0.08263393070320013,0.13469379815033847,0.026029933723569168,0.05,0.01,False,False
1024,600.0,ensemble_mean_l1_bins_500,20,0.11634915527014848,0.1303485938655493,0.1901022986175373,0.029876852375993995,0.05,0.01,False,False
1024,600.0,ensemble_mean_l1_bins_1000,20,0.16135672262696127,0.18758406183935947,0.2591494336364376,0.03578268589853907,0.05,0.01,False,False
1024,600.0,golovin_relative_error_radius_moment_0_m3,20,-0.026659604821128825,-0.0454498975976447,-0.007869312044612949,0.018790292776515876,0.05,0.025,True,True
1024,600.0,golovin_relative_error_radius_moment_6_um6_m3,20,0.008871488360847835,-0.05169666587828841,0.06943964259998409,0.06056815423913625,0.1,0.05,True,False
1024,1200.0,ensemble_mean_l1_bins_250,20,0.08339918000594439,0.08863907498160231,0.14135191996214097,0.02635642249026933,0.05,0.01,False,False
1024,1200.0,ensemble_mean_l1_bins_500,20,0.11156103169605133,0.1273468262282235,0.18913518479125965,0.03089417928151808,0.05,0.01,False,False
1024,1200.0,ensemble_mean_l1_bins_1000,20,0.15794749562827265,0.18579503405263093,0.2592070353771056,0.03670600066223734,0.05,0.01,False,False
1024,1200.0,golovin_relative_error_radius_moment_0_m3,20,-0.01970657498582354,-0.044170147668234454,0.004756997696587377,0.024463572682410915,0.05,0.025,True,True
1024,1200.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.011978285074669932,-0.07831658849308226,0.054360018343742406,0.06633830341841233,0.1,0.05,True,False
1024,1800.0,ensemble_mean_l1_bins_250,20,0.07428981753461746,0.08979563088150404,0.13760903714937187,0.023906703133933914,0.05,0.01,False,False
1024,1800.0,ensemble_mean_l1_bins_500,20,0.10507674074900736,0.12772286631251742,0.18544500499529848,0.02886106934139053,0.05,0.01,False,False
1024,1800.0,ensemble_mean_l1_bins_1000,20,0.17021692938017224,0.1971076179146319,0.26731564728585,0.035104014685609045,0.05,0.01,False,False
1024,1800.0,golovin_relative_error_radius_moment_0_m3,20,-0.019993330417064265,-0.045616307313891255,0.005629646479762721,0.025622976896826986,0.05,0.025,True,False
1024,1800.0,golovin_relative_error_radius_moment_6_um6_m3,20,0.010185741723024461,-0.08937520885698232,0.10974669230303123,0.09956095058000677,0.1,0.05,False,False
1024,2400.0,ensemble_mean_l1_bins_250,20,0.10287722584480466,0.11422714320769176,0.16320693369309588,0.024489895242702064,0.05,0.01,False,False
1024,2400.0,ensemble_mean_l1_bins_500,20,0.13674348327481733,0.15542988080589176,0.22031315610926933,0.03244163765168878,0.05,0.01,False,False
1024,2400.0,ensemble_mean_l1_bins_1000,20,0.19293542928449112,0.22454423970454682,0.2969310466513516,0.0361934034734024,0.05,0.01,False,False
1024,2400.0,golovin_relative_error_radius_moment_0_m3,20,-0.021375443736021398,-0.04912885001109556,0.006377962539052758,0.02775340627507416,0.05,0.025,True,False
1024,2400.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.029794671477212858,-0.13482192817348557,0.07523258521905986,0.10502725669627272,0.1,0.05,False,False
1024,3000.0,ensemble_mean_l1_bins_250,20,0.10596114707938588,0.11886133658723134,0.18012349883284756,0.03063108112280811,0.05,0.01,False,False
1024,3000.0,ensemble_mean_l1_bins_500,20,0.1493868607334189,0.173444981029263,0.24097762943359105,0.03376632420216402,0.05,0.01,False,False
1024,3000.0,ensemble_mean_l1_bins_1000,20,0.2106841291827122,0.2462665886060608,0.3311413922857365,0.042437401839837866,0.05,0.01,False,False
1024,3000.0,golovin_relative_error_radius_moment_0_m3,20,-0.025794740365826276,-0.05450704054244812,0.0029175598107955697,0.028712300176621845,0.05,0.025,False,False
1024,3000.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.013858207770561065,-0.13643566583765002,0.10871925029652788,0.12257745806708895,0.1,0.05,False,False
1024,3600.0,ensemble_mean_l1_bins_250,20,0.133067448406568,0.14045644239255384,0.23066142148293672,0.04510248954519144,0.05,0.01,False,False
1024,3600.0,ensemble_mean_l1_bins_500,20,0.1720347088634539,0.20704352836773188,0.2965708375212747,0.04476365457677142,0.05,0.01,False,False
1024,3600.0,ensemble_mean_l1_bins_1000,20,0.23295825796664188,0.28323245433999916,0.3941936408148204,0.055480593237410614,0.05,0.01,False,False
1024,3600.0,golovin_relative_error_radius_moment_0_m3,20,-0.02342462282797312,-0.053426759058543064,0.0065775134025968275,0.030002136230569944,0.05,0.025,False,False
1024,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.0196439838793555,-0.1789041198645958,0.1396161521058848,0.1592601359852403,0.1,0.05,False,False
2048,600.0,ensemble_mean_l1_bins_250,20,0.05879801819926947,0.06066107484067208,0.1026332692764791,0.02098609721790351,0.05,0.01,False,False
2048,600.0,ensemble_mean_l1_bins_500,20,0.07210879563778745,0.08542139073011519,0.13037475334690685,0.022476681308395828,0.05,0.01,False,False
2048,600.0,ensemble_mean_l1_bins_1000,20,0.10559509547264008,0.1263893966485057,0.18148108119605494,0.027545842273774615,0.05,0.01,False,False
2048,600.0,golovin_relative_error_radius_moment_0_m3,20,0.0021358911900902664,-0.012544906912390841,0.016816689292571376,0.014680798102481109,0.05,0.025,True,True
2048,600.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.012586920283677716,-0.04556621965538923,0.020392379088033798,0.03297929937171151,0.1,0.05,True,True
2048,1200.0,ensemble_mean_l1_bins_250,20,0.05631155433329012,0.0653725067156214,0.1042007335528986,0.0194141134186386,0.05,0.01,False,False
2048,1200.0,ensemble_mean_l1_bins_500,20,0.07235523635875551,0.08801410800974745,0.13520274988375564,0.023594320937004094,0.05,0.01,False,False
2048,1200.0,ensemble_mean_l1_bins_1000,20,0.12466184872790706,0.14260643328715292,0.19542451969875035,0.02640904320579872,0.05,0.01,False,False
2048,1200.0,golovin_relative_error_radius_moment_0_m3,20,0.00320637802842757,-0.009412576231649816,0.015825332288504957,0.012618954260077387,0.05,0.025,True,True
2048,1200.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.008252556426516433,-0.058028482921589714,0.041523370068556845,0.04977592649507328,0.1,0.05,True,True
2048,1800.0,ensemble_mean_l1_bins_250,20,0.05810690444306664,0.06731419342263112,0.10554569597614773,0.019115751276758304,0.05,0.01,False,False
2048,1800.0,ensemble_mean_l1_bins_500,20,0.08561620006731098,0.09757409815188459,0.14072970604016038,0.0215778039441379,0.05,0.01,False,False
2048,1800.0,ensemble_mean_l1_bins_1000,20,0.11962263316088367,0.1393782162008124,0.1958059075321562,0.028213845665671908,0.05,0.01,False,False
2048,1800.0,golovin_relative_error_radius_moment_0_m3,20,0.0017530129059091294,-0.013184549912477393,0.01669057572429565,0.014937562818386521,0.05,0.025,True,True
2048,1800.0,golovin_relative_error_radius_moment_6_um6_m3,20,-0.013445296987721433,-0.08622984636514536,0.059339252389702495,0.07278454937742393,0.1,0.05,True,False
2048,2400.0,ensemble_mean_l1_bins_250,20,0.06711684934911703,0.07261260047045849,0.11011375420582738,0.018750576867684443,0.05,0.01,False,False
2048,2400.0,ensemble_mean_l1_bins_500,20,0.08216417794533015,0.10023783656198068,0.14887589764306705,0.024319030540543185,0.05,0.01,False,False
