ensemble_size,max_superdroplets,time_s,metric,full50_point_estimate,projected_95ci_low,projected_95ci_high,projected_95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
30,8192,3600.0,golovin_relative_error_radius_moment_0_m3,0.0016955785385529333,-0.006539815636150172,0.009930972713256037,0.008235394174703104,0.05,0.025,True,True
30,8192,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0012606521758226296,-0.0518280560247382,0.049306751673092945,0.050567403848915574,0.05,0.05,False,False
30,16384,600.0,ensemble_mean_l1_bins_500,0.019379979350067016,0.025183628995806888,0.036161267728857284,0.005488819366525198,0.05,0.01,True,True
30,16384,600.0,golovin_relative_error_radius_moment_0_m3,0.00037794263538314164,-0.0032480077035965914,0.0040038929743628745,0.003625950338979733,0.05,0.025,True,True
30,16384,600.0,golovin_relative_error_radius_moment_6_um6_m3,0.005964292731297449,-0.006838428980650221,0.01876701444324512,0.01280272171194767,0.05,0.05,True,True
30,16384,1200.0,ensemble_mean_l1_bins_500,0.017546599035850787,0.025142583110579084,0.03564836440928353,0.005252890649352224,0.05,0.01,True,True
30,16384,1200.0,golovin_relative_error_radius_moment_0_m3,0.0022320481533526747,-0.0020405238145979254,0.006504620121303275,0.0042725719679506,0.05,0.025,True,True
30,16384,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.005692892556690909,-0.012283556507975576,0.023669341621357396,0.017976449064666486,0.05,0.05,True,True
30,16384,1800.0,ensemble_mean_l1_bins_500,0.022013968177416438,0.028236260960437486,0.038163119291821736,0.004963429165692125,0.05,0.01,True,True
30,16384,1800.0,golovin_relative_error_radius_moment_0_m3,0.0019587864732232485,-0.003230118570009293,0.00714769151645579,0.005188905043232541,0.05,0.025,True,True
30,16384,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.0038690813443692696,-0.01704455857244201,0.024782721261180547,0.020913639916811277,0.05,0.05,True,True
30,16384,2400.0,ensemble_mean_l1_bins_500,0.022078315638778833,0.028779391217374634,0.04013942695435621,0.005680017868490789,0.05,0.01,True,True
30,16384,2400.0,golovin_relative_error_radius_moment_0_m3,0.000847867742774433,-0.004401241172520847,0.006096976658069712,0.005249108915295279,0.05,0.025,True,True
30,16384,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0030222544460707644,-0.01845617732493281,0.024500686217074342,0.021478431771003576,0.05,0.05,True,True
30,16384,3000.0,ensemble_mean_l1_bins_500,0.020691557790981998,0.030756289470294185,0.04402992379980345,0.006636817164754633,0.05,0.01,True,True
30,16384,3000.0,golovin_relative_error_radius_moment_0_m3,0.0008395878822076642,-0.004445712466629482,0.006124888231044809,0.0052853003488371455,0.05,0.025,True,True
30,16384,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.000616958296412442,-0.024440140933307895,0.025674057526132776,0.025057099229720336,0.05,0.05,True,True
30,16384,3600.0,ensemble_mean_l1_bins_500,0.026110003987584715,0.03710100744125872,0.05197964238525794,0.00743931747199961,0.05,0.01,False,True
30,16384,3600.0,golovin_relative_error_radius_moment_0_m3,0.0005965955247842669,-0.004804743834119196,0.005997934883687729,0.005401339358903462,0.05,0.025,True,True
30,16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.010791706576155033,-0.04652824950861515,0.024944836356305088,0.03573654293246012,0.05,0.05,True,True
30,32768,600.0,ensemble_mean_l1_bins_500,0.013218842589344163,0.017474156580629122,0.02506161527384236,0.0037937293466066193,0.05,0.01,True,True
30,32768,600.0,golovin_relative_error_radius_moment_0_m3,0.00045808868100110755,-0.0021948575152577992,0.0031110348772600146,0.002652946196258907,0.05,0.025,True,True
30,32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005772223105147582,-0.013663240212367412,0.0021187940020722463,0.007891017107219829,0.05,0.05,True,True
30,32768,1200.0,ensemble_mean_l1_bins_500,0.011693342007497245,0.016961260812709898,0.024242663593846525,0.0036407013905683135,0.05,0.01,True,True
30,32768,1200.0,golovin_relative_error_radius_moment_0_m3,-0.001825080703057691,-0.005224126315241499,0.0015739649091261168,0.003399045612183808,0.05,0.025,True,True
30,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0036116210874701095,-0.01602158906313089,0.008798346888190669,0.012409967975660779,0.05,0.05,True,True
30,32768,1800.0,ensemble_mean_l1_bins_500,0.01480490131184602,0.019847703253097388,0.027106382260652154,0.003629339503777383,0.05,0.01,True,True
30,32768,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0015014591002203593,-0.005513763419200267,0.002510845218759549,0.004012304318979908,0.05,0.025,True,True
