ensemble_size,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,full50_point_difference_lower_minus_upper,projected_95ci_low,projected_95ci_high,equivalence_margin,equivalence_pass
5,32768,65536,1800.0,ensemble_mean_l1_bins_500,0.0022106959658821177,0.0029838784664118984,0.024673507778329298,0.01,False
5,32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0005116366193819945,-0.014280330630193629,0.01325705739142964,0.05,True
5,32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.004109276868206422,-0.053311166257922385,0.045092612521509534,0.05,False
5,32768,65536,2400.0,ensemble_mean_l1_bins_500,0.0029214316708307247,0.0019945903323274295,0.025262622189856452,0.01,False
5,32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0008068765792259502,-0.014832910324990359,0.013219157166538459,0.05,True
5,32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006609878357270577,-0.06566349306334332,0.05244373634880216,0.05,False
5,32768,65536,3000.0,ensemble_mean_l1_bins_500,0.005770418455639723,0.003870370358958078,0.031849100792848424,0.01,False
5,32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,-0.000476973385106203,-0.01509443306107127,0.014140486290858865,0.05,True
5,32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0059289581581573264,-0.07632738188261576,0.06446946556630109,0.05,False
5,32768,65536,3600.0,ensemble_mean_l1_bins_500,0.005294262234892724,0.0027777340105459487,0.03649279088929149,0.01,False
5,32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0006184310353840617,-0.015199236129848893,0.013962374059080771,0.05,True
5,32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.005842607661894012,-0.08447472391206828,0.07278950858828026,0.05,False
5,65536,131072,600.0,ensemble_mean_l1_bins_500,0.0022743987140059945,0.002031746383349793,0.017686736420436687,0.01,False
5,65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,-0.0022571724052171806,-0.008975439649879863,0.004461094839445503,0.05,True
5,65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0003480841588496531,-0.01798485198489276,0.017288683667193452,0.05,True
5,65536,131072,1200.0,ensemble_mean_l1_bins_500,0.0018120146021446447,0.0017594410330512508,0.01736187445829633,0.01,False
5,65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,-0.002388720251492169,-0.01135614847254364,0.0065787079695593005,0.05,True
5,65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.003932841125203463,-0.021770750758871388,0.02963643300927831,0.05,True
5,65536,131072,1800.0,ensemble_mean_l1_bins_500,0.0029760395838790577,0.0025347884054897495,0.01775973641547621,0.01,False
5,65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0017948561576964827,-0.011536477204259436,0.007946764888866472,0.05,True
5,65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.0024392991328900473,-0.02862401848721243,0.03350261675299253,0.05,True
5,65536,131072,2400.0,ensemble_mean_l1_bins_500,0.002915254703770369,0.002051528694800037,0.018679210984602495,0.01,False
5,65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0012539710839893203,-0.011541436084469104,0.009033493916490463,0.05,True
5,65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.0016295257509943118,-0.03527855388866745,0.03853760539065608,0.05,True
5,65536,131072,3000.0,ensemble_mean_l1_bins_500,0.00402507820412765,0.0020107593646979953,0.02155047323603008,0.01,False
5,65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,-0.0009783010397904968,-0.011379348794106086,0.009422746714525093,0.05,True
