ensemble_size,metric,worst_analytical_bound_over_margin,worst_precision_half_width_over_margin,worst_adjacent_bound_over_margin,worst_formal_gate_ratio,all_target_triple_gates_pass
28,golovin_relative_error_radius_moment_0_m3,0.05989364022295978,0.09324390882217325,0.06284314342638729,0.09324390882217325,True
28,golovin_relative_error_radius_moment_6_um6_m3,0.3814230811214689,0.2045822312277068,0.36302445915752163,0.3814230811214689,True
29,ensemble_mean_l1_bins_500,0.3881115459328707,0.2812249512821741,0.7922068174920364,0.7922068174920364,True
29,golovin_relative_error_radius_moment_0_m3,0.05906016978972367,0.09146928501921796,0.06187485958434247,0.09146928501921796,True
29,golovin_relative_error_radius_moment_6_um6_m3,0.37752945952425787,0.20068860963049578,0.3582254923272829,0.37752945952425787,True
30,ensemble_mean_l1_bins_500,0.3827323104364146,0.27476515107753363,0.7703403610209946,0.7703403610209946,True
30,golovin_relative_error_radius_moment_0_m3,0.05827259109614633,0.08979237382886399,0.060958250685458085,0.08979237382886399,True
30,golovin_relative_error_radius_moment_6_um6_m3,0.3738502247385562,0.19700937484479417,0.3536798757419982,0.3738502247385562,True
31,ensemble_mean_l1_bins_500,0.37858762358791465,0.2688574510334895,0.7639816641033448,0.7639816641033448,True
31,golovin_relative_error_radius_moment_0_m3,0.05752683857051735,0.08820451884286679,0.0600888730355125,0.08820451884286679,True
31,golovin_relative_error_radius_moment_6_um6_m3,0.37036638413165013,0.19352553423788804,0.3493660503162431,0.37036638413165013,True
32,ensemble_mean_l1_bins_500,0.3756156140810781,0.26711127483478997,0.7551216334687738,0.7551216334687738,True
32,golovin_relative_error_radius_moment_0_m3,0.05681933391741197,0.08669810116080513,0.05926280067108762,0.08669810116080513,True
32,golovin_relative_error_radius_moment_6_um6_m3,0.3670612214196836,0.19022037152592153,0.3452649434566364,0.3670612214196836,True
33,ensemble_mean_l1_bins_500,0.3709636523563923,0.26213059405824407,0.749648634947897,0.749648634947897,True
33,golovin_relative_error_radius_moment_0_m3,0.05614691348333271,0.08526638473713138,0.05847655023459724,0.08526638473713138,True
33,golovin_relative_error_radius_moment_6_um6_m3,0.36391995735063726,0.1870791074568752,0.34135961177467755,0.36391995735063726,True
34,ensemble_mean_l1_bins_500,0.3674747135160867,0.2563122186351571,0.7338088240494547,0.7338088240494547,True
34,golovin_relative_error_radius_moment_0_m3,0.05550676843510577,0.08390338900911655,0.05772701876684158,0.08390338900911655,True
34,golovin_relative_error_radius_moment_6_um6_m3,0.3609294702430783,0.18408862034931625,0.3376349446571796,0.3609294702430783,True
35,ensemble_mean_l1_bins_500,0.3642893925731889,0.2540102592317161,0.7242194354754428,0.7242194354754428,True
35,golovin_relative_error_radius_moment_0_m3,0.054896395162368994,0.08260378329391349,0.05701143186990882,0.08260378329391349,True
35,golovin_relative_error_radius_moment_6_um6_m3,0.3580780642875475,0.18123721439378543,0.33407741680250114,0.3580780642875475,True
36,ensemble_mean_l1_bins_500,0.3609037898973508,0.24998804340355768,0.7168080737124244,0.7168080737124244,True
36,golovin_relative_error_radius_moment_0_m3,0.05431355390084502,0.08136279868930191,0.05632730025607058,0.08136279868930191,True
36,golovin_relative_error_radius_moment_6_um6_m3,0.35535527625197877,0.17851442635821668,0.3306748804355089,0.35535527625197877,True
37,ensemble_mean_l1_bins_500,0.35741017593104124,0.24631430830003315,0.7100764318628566,0.7100764318628566,True
37,golovin_relative_error_radius_moment_0_m3,0.05375623401281904,0.0801761541489417,0.05567238312416116,0.0801761541489417,True
37,golovin_relative_error_radius_moment_6_um6_m3,0.3527517132867662,0.17591086339300413,0.32741638989028576,0.3527517132867662,True
38,ensemble_mean_l1_bins_500,0.35417832147995965,0.24172824740336238,0.6998069228431628,0.6998069228431628,True
38,golovin_relative_error_radius_moment_0_m3,0.05322262469467917,0.07903999411291854,0.05504465713003037,0.07903999411291854,True
38,golovin_relative_error_radius_moment_6_um6_m3,0.35025891608277243,0.17341806618901034,0.3242920527620322,0.35025891608277243,True
39,ensemble_mean_l1_bins_500,0.3516360079270289,0.23932059504991487,0.6888646911509102,0.6888646911509102,True
39,golovin_relative_error_radius_moment_0_m3,0.05271109013644805,0.07795083561746174,0.054442289967945534,0.07795083561746174,True
39,golovin_relative_error_radius_moment_6_um6_m3,0.3478692428271594,0.17102839293339736,0.32129290299675983,0.3478692428271594,True
40,ensemble_mean_l1_bins_500,0.34797235423649137,0.23476227336706057,0.6833498333464352,0.6833498333464352,True
40,golovin_relative_error_radius_moment_0_m3,0.05222014835497219,0.07690552322660753,0.05386361777403258,0.07690552322660753,True
40,golovin_relative_error_radius_moment_6_um6_m3,0.34557577032099535,0.1687349204272333,0.3184107921950992,0.34557577032099535,True
41,ensemble_mean_l1_bins_500,0.3457722677416579,0.23277477143021683,0.675785909434644,0.675785909434644,True
41,golovin_relative_error_radius_moment_0_m3,0.05174845307535728,0.07590119045418252,0.05330712571467408,0.07590119045418252,True
41,golovin_relative_error_radius_moment_6_um6_m3,0.343372209336978,0.16653135944321593,0.3156382961176643,0.343372209336978,True
42,ensemble_mean_l1_bins_500,0.3433752449608413,0.22950094151996053,0.6678938717614132,0.6678938717614132,True
42,golovin_relative_error_radius_moment_0_m3,0.05129477815497515,0.07493522659942643,0.05277143124230812,0.07493522659942643,True
42,golovin_relative_error_radius_moment_6_um6_m3,0.34125283185497857,0.1644119819612165,0.3129686339403756,0.34125283185497857,True
43,ensemble_mean_l1_bins_500,0.3407190109717286,0.22711764153604505,0.660046194082485,0.660046194082485,True
43,golovin_relative_error_radius_moment_0_m3,0.05085800413876797,0.0740052481205689,0.05225526959579233,0.0740052481205689,True
43,golovin_relative_error_radius_moment_6_um6_m3,0.3392124082541055,0.16237155836034342,0.3103955982535273,0.3392124082541055,True
44,ensemble_mean_l1_bins_500,0.3391604829048454,0.2269033909889891,0.6526100679530036,0.6526100679530036,True
44,golovin_relative_error_radius_moment_0_m3,0.05043710660948456,0.0731090738301729,0.05175748119803075,0.0731090738301729,True
44,golovin_relative_error_radius_moment_6_um6_m3,0.33724615288993176,0.16040530299616967,0.3079134941541976,0.33724615288993176,True
45,ensemble_mean_l1_bins_500,0.3361011794927605,0.2219171483455397,0.6464047614687579,0.6464047614687579,True
45,golovin_relative_error_radius_moment_0_m3,0.050031146056295814,0.07224470332340824,0.0512770006641523,0.07224470332340824,True
45,golovin_relative_error_radius_moment_6_um6_m3,0.33534967676494887,0.15850882687118678,0.3055170860675116,0.33534967676494887,True
46,ensemble_mean_l1_bins_500,0.33369343859465056,0.2179656814844226,0.6398865220680818,0.6398865220680818,True
46,golovin_relative_error_radius_moment_0_m3,0.04963925903327117,0.07141029815269499,0.05081284718240803,0.07141029815269499,True
46,golovin_relative_error_radius_moment_6_um6_m3,0.3335189462247051,0.15667809633094304,0.30320155116328945,0.3335189462247051,True
47,ensemble_mean_l1_bins_500,0.33144526891222836,0.21491424580140492,0.6350129753635753,0.6350129753635753,True
47,golovin_relative_error_radius_moment_0_m3,0.04926065041799038,0.070604165344753,0.050364116069595156,0.070604165344753,True
47,golovin_relative_error_radius_moment_6_um6_m3,0.3317502467933123,0.1549093968995502,0.30096243842226217,0.3317502467933123,True
48,ensemble_mean_l1_bins_500,0.32999216312216145,0.21259204778278126,0.6278100865786577,0.6278100865786577,True
48,golovin_relative_error_radius_moment_0_m3,0.048894586612057964,0.06982474292314919,0.04992997133512837,0.06982474292314919,True
48,golovin_relative_error_radius_moment_6_um6_m3,0.3300401514091225,0.15319930151536043,0.2987956325592281,0.3300401514091225,True
49,ensemble_mean_l1_bins_500,0.3283027707830998,0.21142890250949564,0.6249900413376817,0.6249900413376817,True
49,golovin_relative_error_radius_moment_0_m3,0.04854038955098391,0.0690705871541457,0.04950963911434625,0.0690705871541457,True
49,golovin_relative_error_radius_moment_6_um6_m3,0.32838549244142273,0.15154464254766067,0.2966973221361752,0.32838549244142273,True
50,ensemble_mean_l1_bins_500,0.3262384150941839,0.20976165637084498,0.618568647066799,0.618568647066799,True
50,golovin_relative_error_radius_moment_0_m3,0.048197431411960236,0.06834036127850718,0.04910240185341929,0.06834036127850718,True
