case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
36	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m036	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	36	not_applicable	17186520627103302607	golovin_controlled_highres_N016384_v1
37	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m037	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	37	not_applicable	3285007672859005173	golovin_controlled_highres_N016384_v1
38	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m038	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	38	not_applicable	17994293222389447115	golovin_controlled_highres_N016384_v1
39	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m039	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	39	not_applicable	11475257952331957482	golovin_controlled_highres_N016384_v1
40	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m040	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	40	not_applicable	136820731087347620	golovin_controlled_highres_N016384_v1
41	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m041	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	41	not_applicable	7777932424032996536	golovin_controlled_highres_N016384_v1
42	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m042	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	42	not_applicable	2035268175793727152	golovin_controlled_highres_N016384_v1
43	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m043	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	43	not_applicable	3614189788794869917	golovin_controlled_highres_N016384_v1
44	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m044	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	44	not_applicable	4147028749212652937	golovin_controlled_highres_N016384_v1
45	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m045	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	45	not_applicable	8082361238906859003	golovin_controlled_highres_N016384_v1
46	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m046	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	46	not_applicable	4931052618610161209	golovin_controlled_highres_N016384_v1
47	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m047	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	47	not_applicable	2526481311099891059	golovin_controlled_highres_N016384_v1
48	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m048	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	48	not_applicable	156670700918715235	golovin_controlled_highres_N016384_v1
49	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m049	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	49	not_applicable	17926621833469444314	golovin_controlled_highres_N016384_v1
50	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m050	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	50	not_applicable	5659161551745891681	golovin_controlled_highres_N016384_v1
51	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m051	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	51	not_applicable	5950596442729197252	golovin_controlled_highres_N016384_v1
52	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m052	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	52	not_applicable	8614588747030390308	golovin_controlled_highres_N016384_v1
53	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m053	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	53	not_applicable	941054747695189584	golovin_controlled_highres_N016384_v1
54	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m054	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	54	not_applicable	5372109282270801043	golovin_controlled_highres_N016384_v1
55	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m055	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	55	not_applicable	6058069436947537919	golovin_controlled_highres_N016384_v1
56	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m056	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	56	not_applicable	11969449819981153596	golovin_controlled_highres_N016384_v1
57	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m057	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	57	not_applicable	15774029340027352743	golovin_controlled_highres_N016384_v1
58	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m058	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	58	not_applicable	5855694991863516323	golovin_controlled_highres_N016384_v1
59	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m059	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	59	not_applicable	12178295227321978726	golovin_controlled_highres_N016384_v1
60	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m060	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	60	not_applicable	1621161615841264304	golovin_controlled_highres_N016384_v1
61	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m061	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	61	not_applicable	2740782412354334413	golovin_controlled_highres_N016384_v1
62	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m062	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	62	not_applicable	16058657001768720068	golovin_controlled_highres_N016384_v1
63	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m063	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	63	not_applicable	9442084572888535956	golovin_controlled_highres_N016384_v1
64	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m064	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	64	not_applicable	736936497897908812	golovin_controlled_highres_N016384_v1
65	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m065	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	65	not_applicable	2603802135273377049	golovin_controlled_highres_N016384_v1
66	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m066	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	66	not_applicable	17757724842586139373	golovin_controlled_highres_N016384_v1
67	golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m067	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	16384	0.1	300.0	3600.0	1	67	not_applicable	14899842023308105857	golovin_controlled_highres_N016384_v1
