case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
51	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m011	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	11	not_applicable	928009235628179043	golovin_controlled_N002048_v1
52	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m012	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	12	not_applicable	5933225644569807413	golovin_controlled_N002048_v1
53	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m013	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	13	not_applicable	10318285898055137768	golovin_controlled_N002048_v1
54	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m014	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	14	not_applicable	7504155829391537326	golovin_controlled_N002048_v1
55	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m015	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	15	not_applicable	6640295270384832455	golovin_controlled_N002048_v1
56	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m016	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	16	not_applicable	12974987332549776227	golovin_controlled_N002048_v1
57	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m017	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	17	not_applicable	10661070560217189856	golovin_controlled_N002048_v1
58	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m018	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	18	not_applicable	10949767997787164627	golovin_controlled_N002048_v1
59	golovin_controlled_resolution_convergence_v1_N002048_dt0p1_m019	golovin_controlled_resolution_convergence_v1	controlled	golovin	2048	0.1	300.0	3600.0	1	19	not_applicable	5272498229129633533	golovin_controlled_N002048_v1
60	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m000	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	0	not_applicable	9013605851861208875	golovin_controlled_N004096_v1
61	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m001	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	1	not_applicable	17460662596774604091	golovin_controlled_N004096_v1
62	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m002	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	2	not_applicable	16478059734131072528	golovin_controlled_N004096_v1
63	golovin_controlled_resolution_convergence_v1_N004096_dt0p1_m003	golovin_controlled_resolution_convergence_v1	controlled	golovin	4096	0.1	300.0	3600.0	1	3	not_applicable	13695393842560516459	golovin_controlled_N004096_v1
