case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
38	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	8	not_applicable	15484676706023952561	golovin_fixed10_screen_N032768_v1
39	golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	32768	0.1	300.0	3600.0	1	9	not_applicable	9508713197183364575	golovin_fixed10_screen_N032768_v1
40	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m000	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	0	not_applicable	4943525736162644286	golovin_fixed10_screen_N065536_v1
41	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m001	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	1	not_applicable	3747105223542227228	golovin_fixed10_screen_N065536_v1
42	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m002	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	2	not_applicable	4581829865982151599	golovin_fixed10_screen_N065536_v1
43	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m003	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	3	not_applicable	793981825677448568	golovin_fixed10_screen_N065536_v1
44	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m004	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	4	not_applicable	12463370235520995387	golovin_fixed10_screen_N065536_v1
45	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m005	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	5	not_applicable	696029637323721955	golovin_fixed10_screen_N065536_v1
46	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m006	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	6	not_applicable	9938566369982238845	golovin_fixed10_screen_N065536_v1
47	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m007	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	7	not_applicable	13460848239603991541	golovin_fixed10_screen_N065536_v1
48	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m008	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	8	not_applicable	15828613341756230021	golovin_fixed10_screen_N065536_v1
49	golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m009	golovin_fixed10_high_resolution_screen_v2	controlled	golovin	65536	0.1	300.0	3600.0	1	9	not_applicable	3861162633612260052	golovin_fixed10_screen_N065536_v1
