lower_ensemble_size,upper_ensemble_size,max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_point_change,maximum_allowed_point_change,point_stability_pass
80,100,131072,1200.0,ensemble_mean_l1,0.005277126291022572,0.004617315337386137,0.0006598109536364357,0.01,True
80,100,131072,1200.0,golovin_relative_error_radius_moment_0_m3,-0.000658806446627258,-0.00023901142748986693,0.0004197950191373911,0.01,True
80,100,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0001079295090158694,-0.0007234679170306646,0.0006155384080147952,0.01,True
80,100,131072,1800.0,ensemble_mean_l1,0.009476962713521867,0.008875301948060499,0.0006016607654613683,0.01,True
80,100,131072,1800.0,golovin_relative_error_radius_moment_0_m3,-0.000956986963131351,-0.0005763945398533843,0.00038059242327796673,0.01,True
80,100,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0009651329443954026,-0.0008139471980024315,0.00015118574639297116,0.01,True
80,100,131072,2400.0,ensemble_mean_l1,0.007775755049900672,0.0072672269222525685,0.0005085281276481033,0.01,True
80,100,131072,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0011306514510927997,-0.0007640001765475423,0.00036665127454525736,0.01,True
80,100,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0006516842844744866,-0.00193406438873027,0.0012823801042557833,0.01,True
80,100,131072,3000.0,ensemble_mean_l1,0.006626132802522743,0.0057781926502808705,0.0008479401522418729,0.01,True
80,100,131072,3000.0,golovin_relative_error_radius_moment_0_m3,-0.001148201699313478,-0.000832578099265201,0.0003156236000482769,0.01,True
80,100,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.0009291513767899301,-3.328367781741615e-05,0.0009624350546073463,0.01,True
80,100,131072,3600.0,ensemble_mean_l1,0.008101521031838872,0.007039327068442216,0.0010621939633966562,0.01,True
80,100,131072,3600.0,golovin_relative_error_radius_moment_0_m3,-0.0011919073519351467,-0.0009300800241298302,0.0002618273278053165,0.01,True
80,100,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.0023312185688093997,0.0013178598396983631,0.0010133587291110365,0.01,True
