max_superdroplets,time_s,metric,n_members,estimate,95ci_low,95ci_high,95ci_half_width,accuracy_margin,precision_margin,accuracy_pass,precision_pass
16384,3600.0,ensemble_mean_l1_bins_1000,100,0.02839473192263087,0.03506034976781443,0.04368879536920869,0.00431422280069713,0.05,0.01,True,True
16384,3600.0,golovin_relative_error_radius_moment_0_m3,100,-0.0007455878494025003,-0.0036393961713021557,0.002148220472497155,0.0028938083218996553,0.05,0.025,True,True
16384,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.008875670145944843,-0.006345271979083774,0.024096612270973462,0.015220942125028617,0.05,0.05,True,True
32768,600.0,ensemble_mean_l1_bins_250,100,0.006395005988089864,0.00727474887492086,0.011045478707963727,0.0018853649165214335,0.05,0.01,True,True
32768,600.0,ensemble_mean_l1_bins_500,100,0.009294376486825308,0.011188711982826574,0.015141495555149693,0.0019763917861615595,0.05,0.01,True,True
32768,600.0,ensemble_mean_l1_bins_1000,100,0.012805546194844778,0.01610846083348038,0.020468676295844142,0.0021801077311818812,0.05,0.01,True,True
32768,600.0,golovin_relative_error_radius_moment_0_m3,100,0.0008866646248207821,-0.0006606809617317563,0.0024340102113733207,0.0015473455865525384,0.05,0.025,True,True
32768,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0005666328514415253,-0.00432244541645133,0.00318917971356828,0.0037558125650098053,0.05,0.05,True,True
32768,1200.0,ensemble_mean_l1_bins_250,100,0.006463667892661943,0.007568594744794256,0.010997662645740652,0.0017145339504731978,0.05,0.01,True,True
32768,1200.0,ensemble_mean_l1_bins_500,100,0.00892131888779304,0.011175900377575558,0.014862261727361591,0.0018431806748930163,0.05,0.01,True,True
32768,1200.0,ensemble_mean_l1_bins_1000,100,0.01305751161368984,0.016546172931994608,0.02056079977798165,0.0020073134229935206,0.05,0.01,True,True
32768,1200.0,golovin_relative_error_radius_moment_0_m3,100,9.303736626780523e-05,-0.001804032307952838,0.0019901070404884486,0.0018970696742206432,0.05,0.025,True,True
