collision_timestep_s,time_s,n_members,ensemble_mean_l1_bins_250,reference_ensemble_mean_l1_bins_250,bootstrap_95ci_low_bins_250,bootstrap_95ci_high_bins_250,timestep_equivalence_pass_bins_250,ensemble_mean_l1_bins_500,reference_ensemble_mean_l1_bins_500,bootstrap_95ci_low_bins_500,bootstrap_95ci_high_bins_500,timestep_equivalence_pass_bins_500,ensemble_mean_l1_bins_1000,reference_ensemble_mean_l1_bins_1000,bootstrap_95ci_low_bins_1000,bootstrap_95ci_high_bins_1000,timestep_equivalence_pass_bins_1000,absolute_difference_from_500_bins_250,absolute_difference_from_500_bins_500,absolute_difference_from_500_bins_1000
0.5,600.0,5,0.04062776413423391,0.03585545684878432,-0.007648334559223792,0.015648864548036434,False,0.05425283441668571,0.05211295327404916,-0.010213420034585127,0.010947641513713663,False,0.08286205289826584,0.07884243444186245,-0.01186790764480844,0.015649387105304974,False,0.013625070282451794,0.0,0.028609218481580136
0.5,1200.0,5,0.041032356925125406,0.04263324226264694,-0.018628498523295706,0.012347506583928552,False,0.06204124148016885,0.05325830810401983,-0.00593188262181521,0.01586745285558116,False,0.0828288428248592,0.07473214194207659,-0.004099999568274365,0.014200455687742614,False,0.021008884555043447,0.0,0.02078760134469034
0.5,1800.0,5,0.034259173920550876,0.04016513068755056,-0.01777242423557699,0.012837938207846254,False,0.05427707293722576,0.05831162038029618,-0.018252100614237474,0.013058973795234616,False,0.08042736365682059,0.08359541467105937,-0.01571318554410639,0.011599261906835912,False,0.020017899016674882,0.0,0.026150290719594828
0.5,2400.0,5,0.04881164726756878,0.04024799570764008,-0.010157476775535142,0.01735821439806448,False,0.06951369759691031,0.06240853298775645,-0.018980243525316645,0.017321680938717915,False,0.09396264045891806,0.08493963844855328,-0.014111253940961327,0.019348706305447924,False,0.020702050329341533,0.0,0.024448942862007744
0.5,3000.0,5,0.04698562319712419,0.04284038657413319,-0.014991733997459449,0.018041014134984462,False,0.06959752701312683,0.05827942567290483,-0.00039614505770807495,0.015495375900837494,False,0.10172165343945418,0.09100934809785664,-0.006980762570295812,0.023058363713114566,False,0.022611903816002636,0.0,0.03212412642632735
0.5,3600.0,5,0.06724697918242933,0.06264401511462929,-0.008988740808607315,0.02378955793599681,False,0.08792603032113663,0.08429341698248892,-0.008597178697014804,0.01991809552460047,False,0.12241532543084668,0.11432009583173017,-0.007941861506912062,0.01847405090007112,False,0.0206790511387073,0.0,0.03448929510971005
1.0,600.0,5,0.048511736810875034,0.03585545684878432,-0.003799278470147223,0.017431103886332434,False,0.05956311228672063,0.05211295327404916,-0.011996511758735201,0.013530467631520222,False,0.0819522477201188,0.07884243444186245,-0.015004150366652202,0.014452890178635255,False,0.011051375475845594,0.0,0.022389135433398176
1.0,1200.0,5,0.04510896079979088,0.04263324226264694,-0.014702207569771975,0.024158205184370646,False,0.06715014703190725,0.05325830810401983,-0.006076277167019806,0.027846535975643828,False,0.08950489978452898,0.07473214194207659,-0.0009452491925481116,0.02441495507504879,False,0.022041186232116365,0.0,0.022354752752621734
1.0,1800.0,5,0.03994149045050181,0.04016513068755056,-0.006526139795951784,0.006864143613862055,True,0.05546013038694534,0.05831162038029618,-0.009718886922493244,0.008420598438087755,True,0.07832545535603574,0.08359541467105937,-0.02017447289187843,0.003664597124488689,False,0.015518639936443528,0.0,0.022865324969090405
1.0,2400.0,5,0.04626597444773606,0.04024799570764008,-0.005425865543084302,0.009755774759109867,True,0.06767918438471356,0.06240853298775645,-0.010306212299081921,0.013104196907935434,False,0.09007143108066387,0.08493963844855328,-0.011066093591361098,0.01161547539131677,False,0.021413209936977498,0.0,0.022392246695950316
1.0,3000.0,5,0.05736736318491935,0.04284038657413319,-0.0008718260987786441,0.022026138122178955,False,0.08089781320807402,0.05827942567290483,0.001522621313287481,0.031120246866626303,False,0.10970140737152609,0.09100934809785664,0.0007592475306364144,0.024200984407295748,False,0.023530450023154667,0.0,0.028803594163452073
1.0,3600.0,5,0.07198470780008993,0.06264401511462929,-0.011873936305922234,0.02754279912577655,False,0.0932524241769095,0.08429341698248892,-0.007851414772091156,0.022709941204959297,False,0.1266627856940071,0.11432009583173017,-0.014417429204323984,0.0305451714121249,False,0.021267716376819568,0.0,0.0334103615170976
2.0,600.0,5,0.03362369071597247,0.03585545684878432,-0.0065578682081133405,0.00938214826767602,True,0.05161318819330277,0.05211295327404916,-0.013087709753367607,0.020110753556586883,False,0.06986757460281379,0.07884243444186245,-0.01802419212148683,0.009334302968489444,False,0.0179894974773303,0.0,0.01825438640951102
2.0,1200.0,5,0.042822717070936156,0.04263324226264694,-0.009859227796164702,0.016901458122183986,False,0.06316033733744786,0.05325830810401983,-0.0039965364268588904,0.020883125634445915,False,0.08601630276067768,0.07473214194207659,-0.0019315203524644248,0.02065673144620324,False,0.020337620266511702,0.0,0.022855965423229818
2.0,1800.0,5,0.043941111990580324,0.04016513068755056,-0.0076913589898804785,0.01657992815059696,False,0.05844736507995164,0.05831162038029618,-0.010498678397282774,0.017088068984055238,False,0.08828013153236859,0.08359541467105937,-0.00813967269581417,0.01664273862427898,False,0.014506253089371313,0.0,0.029832766452416955
2.0,2400.0,5,0.045513695513608995,0.04024799570764008,-0.007134808467121112,0.019831203098735213,False,0.0696666387856191,0.06240853298775645,-0.008751769164228332,0.018101895255400666,False,0.09169246544543631,0.08493963844855328,-0.00931932329979146,0.020780609522303428,False,0.024152943272010105,0.0,0.022025826659817213
2.0,3000.0,5,0.05248241218454864,0.04284038657413319,-0.00012313694994101065,0.023286288170554476,False,0.06854454346201858,0.05827942567290483,-0.002159861494182902,0.028741527040705844,False,0.10782168634285828,0.09100934809785664,0.0014804790733331241,0.02413874117454151,False,0.016062131277469936,0.0,0.03927714288083971
2.0,3600.0,5,0.05790547666197485,0.06264401511462929,-0.02191531883483039,0.0066249077528791195,False,0.08499203443105036,0.08429341698248892,-0.010162150694893526,0.018405214527272257,False,0.12546610311317904,0.11432009583173017,-0.004983868869645414,0.021469465731071696,False,0.02708655776907551,0.0,0.04047406868212869
