collision_timestep_s,reference_collision_timestep_s,time_s,metric,n_common_streams,estimated_difference,ci_method,95ci_low,95ci_high,equivalence_margin,equivalence_pass
0.1,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,1200.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,1800.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,2400.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_500,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,3000.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_1000,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
0.1,0.1,3600.0,golovin_ensemble_mean_fixed_bin_l1_relative_bins_250,5,0.0,common_stream_percentile_bootstrap,0.0,0.0,0.01,True
