lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
32768,65536,3000.0,ensemble_mean_l1_bins_1000,10,10,0.020594686930153892,0.006110202389482252,0.04356504396196366,0.01,False
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0032010947095711282,-0.010754767499334506,0.004352578080192251,0.05,True
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0005454340635990609,-0.04818142459551517,0.04709055646831705,0.05,True
32768,65536,3600.0,ensemble_mean_l1_bins_250,10,10,0.016660216380546506,0.004040477403718597,0.03389547011608072,0.01,False
32768,65536,3600.0,ensemble_mean_l1_bins_500,10,10,0.02467250030440805,0.009258370138954723,0.04284265380000919,0.01,False
32768,65536,3600.0,ensemble_mean_l1_bins_1000,10,10,0.024177233192470476,0.008704819224274402,0.05266515839725428,0.01,False
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.002315312355158872,-0.010412484628442315,0.005781859918124571,0.05,True
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.004969670506065449,-0.054637509929040436,0.06457685094117133,0.05,False
65536,131072,600.0,ensemble_mean_l1_bins_250,10,10,0.0035679818041417875,-0.0008959655003741336,0.013560084351547236,0.01,False
65536,131072,600.0,ensemble_mean_l1_bins_500,10,10,0.007095576146843176,0.0009172364826581373,0.017572397810158274,0.01,False
65536,131072,600.0,ensemble_mean_l1_bins_1000,10,10,0.012034310598965398,0.003916332123266665,0.02411145754087924,0.01,False
65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,10,10,0.002313046990376344,-0.0015731541734104516,0.00619924815416314,0.05,True
65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.006540809844404205,-0.016384542123602977,0.0033029224347945656,0.05,True
65536,131072,1200.0,ensemble_mean_l1_bins_250,10,10,0.005900703386925997,0.000951536728361235,0.013451780751171986,0.01,False
65536,131072,1200.0,ensemble_mean_l1_bins_500,10,10,0.0068816759733722616,0.0021735692820753372,0.016924857750025106,0.01,False
65536,131072,1200.0,ensemble_mean_l1_bins_1000,10,10,0.007990161484484243,0.0018393201188975986,0.023034338403246257,0.01,False
65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,10,10,0.003731976594146813,-0.0005837062242615701,0.008047659412555197,0.05,True
65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.011139420738536698,-0.02986628060185516,0.007587439124781766,0.05,True
65536,131072,1800.0,ensemble_mean_l1_bins_250,10,10,0.004457028946070621,0.0013241667354007174,0.011949217523339873,0.01,False
65536,131072,1800.0,ensemble_mean_l1_bins_500,10,10,0.005679049611281496,0.001145179352515081,0.015905406673678287,0.01,False
65536,131072,1800.0,ensemble_mean_l1_bins_1000,10,10,0.006852249072526913,0.0008476682628571631,0.02181774969780534,0.01,False
65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,10,10,0.003374997415605174,-0.0013202462278547075,0.008070241059065055,0.05,True
65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.006280755218158219,-0.031357951274415916,0.01879644083809948,0.05,True
65536,131072,2400.0,ensemble_mean_l1_bins_250,10,10,0.006448010063927635,0.0007722484105579302,0.016057507796888807,0.01,False
65536,131072,2400.0,ensemble_mean_l1_bins_500,10,10,0.007684987081346224,0.002203235382286978,0.019733745809259084,0.01,False
65536,131072,2400.0,ensemble_mean_l1_bins_1000,10,10,0.009074704087697429,0.0023765346817465967,0.025440714674812872,0.01,False
65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,10,10,0.003593383372163495,-0.0015914165192082545,0.008778183263535244,0.05,True
65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.001934277267688412,-0.03511358362090684,0.031245029085530014,0.05,True
65536,131072,3000.0,ensemble_mean_l1_bins_250,10,10,0.008719653091065871,0.0025497456312060427,0.021608062592103024,0.01,False
65536,131072,3000.0,ensemble_mean_l1_bins_500,10,10,0.008176681984794064,0.0012323506109080148,0.02348975768079664,0.01,False
65536,131072,3000.0,ensemble_mean_l1_bins_1000,10,10,0.011685316535036534,0.003228826930223591,0.031213365794116377,0.01,False
65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,10,10,0.003348896755394448,-0.002334410898428554,0.00903220440921745,0.05,True
65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.006010084469748899,-0.044082647361093935,0.03206247842159614,0.05,True
65536,131072,3600.0,ensemble_mean_l1_bins_250,10,10,0.0041521188355067625,-0.002103269338203118,0.019992208513468706,0.01,False
65536,131072,3600.0,ensemble_mean_l1_bins_500,10,10,0.005406216987077703,-0.0013785793872545333,0.024119417409458267,0.01,False
65536,131072,3600.0,ensemble_mean_l1_bins_1000,10,10,0.011177074656411295,0.00167558401915075,0.033807853717078236,0.01,False
65536,131072,3600.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0031159053998287443,-0.0025605906007399775,0.008792401400397467,0.05,True
65536,131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.005768042871566636,-0.05283990320184101,0.041303817458707745,0.05,False
131072,262144,600.0,ensemble_mean_l1_bins_250,10,10,0.0013143160459722046,-0.001081951459865635,0.007644165140784031,0.01,True
131072,262144,600.0,ensemble_mean_l1_bins_500,10,10,0.004835437015966199,0.0006304740548976722,0.012308669045058443,0.01,False
131072,262144,600.0,ensemble_mean_l1_bins_1000,10,10,0.005348103789049591,0.0008048104552280539,0.016027566834972105,0.01,False
131072,262144,600.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.001237393318675606,-0.0033552177172514993,0.0008804310799002872,0.05,True
131072,262144,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,0.0003162497717483226,-0.005469192895010394,0.006101692438507039,0.05,True
131072,262144,1200.0,ensemble_mean_l1_bins_250,10,10,0.001967595194584868,-0.0008521675535929189,0.008402858517252226,0.01,True
131072,262144,1200.0,ensemble_mean_l1_bins_500,10,10,0.0038163246126252225,-0.00014037635501333597,0.010799983434932001,0.01,False
131072,262144,1200.0,ensemble_mean_l1_bins_1000,10,10,0.006679499651064732,0.0015850255099711023,0.016111577275310367,0.01,False
131072,262144,1200.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0020586471714802764,-0.004994884460847813,0.0008775901178872604,0.05,True
131072,262144,1200.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0006322982879247707,-0.009596060842082796,0.008331464266233254,0.05,True
131072,262144,1800.0,ensemble_mean_l1_bins_250,10,10,0.0023726217622951594,-0.00033275165878905337,0.007002630487089679,0.01,True
131072,262144,1800.0,ensemble_mean_l1_bins_500,10,10,0.0033628904421807455,5.8052689364537946e-05,0.010033082469302564,0.01,False
131072,262144,1800.0,ensemble_mean_l1_bins_1000,10,10,0.005975840262777397,0.0009642429189195297,0.015182342719884525,0.01,False
131072,262144,1800.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0008677998627718119,-0.003986678906577571,0.002251079181033947,0.05,True
131072,262144,1800.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0070767431453438445,-0.015974601985828955,0.0018211156951412656,0.05,True
131072,262144,2400.0,ensemble_mean_l1_bins_250,10,10,0.001503591451266252,-0.0016340245379846616,0.008203905342120352,0.01,True
131072,262144,2400.0,ensemble_mean_l1_bins_500,10,10,0.0031831944577839326,-0.0011581384104820437,0.011158467922529388,0.01,False
131072,262144,2400.0,ensemble_mean_l1_bins_1000,10,10,0.0050352237055591095,0.00041026671790004,0.016231619014658537,0.01,False
131072,262144,2400.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0009754158303159178,-0.004320330981374401,0.002369499320742565,0.05,True
131072,262144,2400.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.01256185903229039,-0.024250513679843086,-0.0008732043847376955,0.05,True
131072,262144,3000.0,ensemble_mean_l1_bins_250,10,10,0.003583477924115024,-0.0009992003012262388,0.011037695561139949,0.01,False
131072,262144,3000.0,ensemble_mean_l1_bins_500,10,10,0.006874327068978685,0.0009115268966221099,0.016078315415328157,0.01,False
131072,262144,3000.0,ensemble_mean_l1_bins_1000,10,10,0.007665598909229077,0.00021904184183200304,0.019778319925524212,0.01,False
131072,262144,3000.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0014821343839470757,-0.004665268462266275,0.0017009996943721233,0.05,True
131072,262144,3000.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.013067961817763006,-0.02695347818697063,0.0008175545514446155,0.05,True
131072,262144,3600.0,ensemble_mean_l1_bins_250,10,10,0.003607497258235814,-0.0013732240028716965,0.013338538711802926,0.01,False
131072,262144,3600.0,ensemble_mean_l1_bins_500,10,10,0.006802603131237763,0.0006390386441119791,0.017697599095789617,0.01,False
131072,262144,3600.0,ensemble_mean_l1_bins_1000,10,10,0.007554300298125163,0.000878984250998165,0.022261748650296658,0.01,False
131072,262144,3600.0,golovin_relative_error_radius_moment_0_m3,10,10,-0.0015215556589899038,-0.00498094340795312,0.0019378320899733122,0.05,True
131072,262144,3600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.015519048384677103,-0.034766078223070505,0.003727981453716299,0.05,True
262144,524288,600.0,ensemble_mean_l1_bins_250,10,10,0.0033078159859654867,0.0009861541339319328,0.007469430374482407,0.01,True
262144,524288,600.0,ensemble_mean_l1_bins_500,10,10,0.002289565785300516,-0.00016976152287570076,0.00807064006610378,0.01,True
262144,524288,600.0,ensemble_mean_l1_bins_1000,10,10,0.0038139107773599284,0.0006847383641167846,0.01179225467093942,0.01,False
262144,524288,600.0,golovin_relative_error_radius_moment_0_m3,10,10,5.17763772097002e-05,-0.0019144878591086103,0.0020180406135280105,0.05,True
262144,524288,600.0,golovin_relative_error_radius_moment_6_um6_m3,10,10,-0.0020274974261153766,-0.006972822658864036,0.0029178278066332836,0.05,True
262144,524288,1200.0,ensemble_mean_l1_bins_250,10,10,0.0026688605872239243,0.00031188301840226365,0.00684666423035596,0.01,True
262144,524288,1200.0,ensemble_mean_l1_bins_500,10,10,0.004536058393073195,0.0017216384024480139,0.00957834892061207,0.01,True
262144,524288,1200.0,ensemble_mean_l1_bins_1000,10,10,0.00538720828652769,0.0017784884975385123,0.01248389119431276,0.01,False
262144,524288,1200.0,golovin_relative_error_radius_moment_0_m3,10,10,0.0007162740815425893,-0.001746565567137958,0.0031791137302231366,0.05,True
