run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m007,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,37,7,not_applicable,9957681523574578458,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.4025804679084217e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m008,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,38,8,not_applicable,15484676706023952561,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.8965027326345307e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N032768_dt0p1_m009,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,39,9,not_applicable,9508713197183364575,32768,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.9427353059597863e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m000,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,40,0,not_applicable,4943525736162644286,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.4659149449869346e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m001,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,41,1,not_applicable,3747105223542227228,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.162151790940925e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m002,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,42,2,not_applicable,4581829865982151599,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.649073183036421e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m003,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,43,3,not_applicable,793981825677448568,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.2777797425987956e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m004,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,44,4,not_applicable,12463370235520995387,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.899140400496435e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m005,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,45,5,not_applicable,696029637323721955,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7765013904380567e-09,1000.0,0.99
golovin_fixed10_high_resolution_screen_v2_N065536_dt0p1_m006,golovin,golovin_fixed10_high_resolution_screen_v2,controlled,46,6,not_applicable,9938566369982238845,65536,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.562694279006905e-09,1000.0,0.99
