ensemble_size,log_radius_bins,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_change,one_sided_95_upper_bound,minimum_worthwhile_improvement,diminishing_returns_pass
20,500,16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.021241990935645223,-0.025789082467483494,0.04703107340312872,0.07814514823575018,0.01,False
20,500,32768,65536,600.0,ensemble_mean_l1,0.017791176036171915,0.014790018483626408,0.0030011575525455067,0.011887490480497422,0.01,False
20,500,32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,0.004120746603922665,-0.00012082182359480775,0.004241568427517473,0.00730780819073349,0.01,True
20,500,32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006249651788358679,-0.00879902608403793,0.002549374295679252,0.009458729072216777,0.01,True
20,500,32768,65536,1200.0,ensemble_mean_l1,0.022110066856561562,0.015439881567231842,0.00667018528932972,0.01451850379494325,0.01,False
20,500,32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,0.005506650283773035,0.0007022455858009035,0.0048044046979721314,0.00837597329407762,0.01,True
20,500,32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.008154710699426453,-0.011985894268747022,0.0038311835693205683,0.013812711159807095,0.01,False
20,500,32768,65536,1800.0,ensemble_mean_l1,0.020573787324963615,0.015732883754886077,0.004840903570077538,0.013691782513114257,0.01,False
20,500,32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,0.005788519216994625,0.0002665952602252497,0.005521923956769375,0.008970400052553382,0.01,True
20,500,32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.010455978535755407,-0.011335754575533524,0.0008797760397781171,0.014004301832295644,0.01,False
20,500,32768,65536,2400.0,ensemble_mean_l1,0.023673284314514546,0.015482574039799498,0.008190710274715048,0.015775820057415364,0.01,False
20,500,32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,0.005348988601915111,0.0004378929768459716,0.0049110956250691395,0.008939784175599748,0.01,True
20,500,32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.01708198169061858,-0.009370040612728652,0.007711941077889927,0.020910089009772388,0.01,False
20,500,32768,65536,3000.0,ensemble_mean_l1,0.02587512359397602,0.018695372722797407,0.007179750871178614,0.018010019138880458,0.01,False
20,500,32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,0.005212508810153088,0.00031786419953184765,0.00489464461062124,0.008828900338514465,0.01,True
20,500,32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.021102755641974925,-0.015414851272041213,0.005687904369933713,0.023854490159618026,0.01,False
20,500,32768,65536,3600.0,ensemble_mean_l1,0.033594504908495755,0.025899632364166158,0.007694872544329597,0.019937658820208082,0.01,False
20,500,32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,0.004961649184126915,0.00026541859965769634,0.004696230584469219,0.008481724238567124,0.01,True
20,500,32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.025789082467483494,-0.012215387792915621,0.013573694674567873,0.03729197319272303,0.01,False
20,500,65536,131072,600.0,ensemble_mean_l1,0.014790018483626408,0.00991585535721378,0.004874163126412628,0.010310567272838203,0.01,False
20,500,65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,-0.00012082182359480775,-0.0017009886388151042,0.0015801668152202965,0.003510658570981219,0.01,True
20,500,65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00879902608403793,-0.0003031067598845971,0.008495919324153334,0.013113907192750702,0.01,False
20,500,65536,131072,1200.0,ensemble_mean_l1,0.015439881567231842,0.010630172452279403,0.004809709114952439,0.010177294933985502,0.01,False
20,500,65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,0.0007022455858009035,-0.001858518422175165,0.0025607640079760687,0.00562394462943249,0.01,True
20,500,65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011985894268747022,0.003354468040031805,0.015340362308778827,0.022542546350644743,0.01,False
20,500,65536,131072,1800.0,ensemble_mean_l1,0.015732883754886077,0.012784943798967736,0.002947939955918341,0.008702438039294456,0.01,True
20,500,65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,0.0002665952602252497,-0.0024365237353094426,0.0027031189955346925,0.006082248953258286,0.01,True
20,500,65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011335754575533524,0.002993386018853289,0.014329140594386813,0.023101863883160677,0.01,False
20,500,65536,131072,2400.0,ensemble_mean_l1,0.015482574039799498,0.010989144608916424,0.004493429430883074,0.010318674471929098,0.01,False
