ensemble_size,log_radius_bins,max_superdroplets,time_s,metric,estimate,95ci_low,95ci_high,analytical_margin,analytical_validity_pass,maximum_absolute_liquid_mass_drift,conservation_pass,maximum_out_of_range_mass_fraction,range_coverage_pass
20,500,32768,3600.0,ensemble_mean_l1,0.033594504908495755,0.038025384914784396,0.05419464783815605,0.05,False,3.442459872715631e-09,True,0.0,True
20,500,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.004961649184126915,0.0014966106012800464,0.008426687766973785,0.05,True,3.442459872715631e-09,True,0.0,True
20,500,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.025789082467483494,-0.05055516646973974,-0.0010229984652272497,0.05,False,3.442459872715631e-09,True,0.0,True
20,500,65536,600.0,ensemble_mean_l1,0.014790018483626408,0.016589607301216277,0.02465979146647862,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,600.0,golovin_relative_error_radius_moment_0_m3,-0.00012082182359480775,-0.0019326823782876668,0.0016910387310980514,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00879902608403793,-0.013262255138834778,-0.004335797029241085,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,1200.0,ensemble_mean_l1,0.015439881567231842,0.017669321013503336,0.025173765365731567,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,1200.0,golovin_relative_error_radius_moment_0_m3,0.0007022455858009035,-0.0024037612436921306,0.003808252415293938,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011985894268747022,-0.01932785162002867,-0.004643936917465373,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,1800.0,ensemble_mean_l1,0.015732883754886077,0.017890329714988266,0.025526287903478596,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,1800.0,golovin_relative_error_radius_moment_0_m3,0.0002665952602252497,-0.003010534540447354,0.0035437250608978538,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011335754575533524,-0.020943118403205792,-0.0017283907478612536,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,2400.0,ensemble_mean_l1,0.015482574039799498,0.018102972322518292,0.02620402619574986,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,2400.0,golovin_relative_error_radius_moment_0_m3,0.0004378929768459716,-0.003413912089524861,0.004289698043216804,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.009370040612728652,-0.020893454385086257,0.0021533731596289525,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,3000.0,ensemble_mean_l1,0.018695372722797407,0.02158344168884208,0.03144639975384717,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,3000.0,golovin_relative_error_radius_moment_0_m3,0.00031786419953184765,-0.0035315691150497636,0.004167297514113459,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.015414851272041213,-0.028506067592930437,-0.0023236349511519885,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,3600.0,ensemble_mean_l1,0.025899632364166158,0.028961596785915613,0.03980846659011334,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,3600.0,golovin_relative_error_radius_moment_0_m3,0.00026541859965769634,-0.0033439944139827486,0.003874831613298141,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.012215387792915621,-0.0319910288655729,0.0075602532797416615,0.05,True,2.8018440900723363e-09,True,0.0,True
20,500,131072,600.0,ensemble_mean_l1,0.00991585535721378,0.011658752937016098,0.01712987662291681,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,600.0,golovin_relative_error_radius_moment_0_m3,-0.0017009886388151042,-0.003381205968891269,-2.077130873893952e-05,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0003031067598845971,-0.004604381769203399,0.003998168249434205,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,1200.0,ensemble_mean_l1,0.010630172452279403,0.012302714098316068,0.017981069755326005,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,1200.0,golovin_relative_error_radius_moment_0_m3,-0.001858518422175165,-0.004199537926298711,0.00048250108194838057,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.003354468040031805,-0.00275685012983356,0.00946578620989717,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,1800.0,ensemble_mean_l1,0.012784943798967736,0.014245075052979382,0.01957099579734964,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,1800.0,golovin_relative_error_radius_moment_0_m3,-0.0024365237353094426,-0.005380371923701947,0.0005073244530830615,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.002993386018853289,-0.002752916606528579,0.008739688644235157,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,2400.0,ensemble_mean_l1,0.010989144608916424,0.013285696223071068,0.01914400257153077,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,2400.0,golovin_relative_error_radius_moment_0_m3,-0.0028082090180211127,-0.005803982903034473,0.00018756486699224697,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.005998483637280061,-0.0009339126701291408,0.012930879944689264,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,3000.0,ensemble_mean_l1,0.012563987552315905,0.0148533483438715,0.02170959378050499,0.05,True,1.384880876642569e-09,True,0.0,True
20,500,131072,3000.0,golovin_relative_error_radius_moment_0_m3,-0.0027387905549159154,-0.005661833295554494,0.0001842521857226627,0.05,True,1.384880876642569e-09,True,0.0,True
