lower_members,middle_members,upper_members,additional_members,projected_additional_cpu_hours,projected_additional_zarr_gb,maximum_projected_upper_bound
610,525,110,945,43.589444444444446,66.15164812,0.009992434816547411
605,530,105,940,43.146458333333335,65.80163938,0.009998687521629189
605,535,105,945,43.43048611111111,66.1516481,0.009990915804021672
600,540,105,945,43.53458333333333,66.1516481,0.009997074183193283
600,545,105,950,43.81861111111111,66.50165682,0.00998918783211222
595,550,105,950,43.92270833333333,66.50165682,0.009996413975858286
595,555,105,955,44.20673611111111,66.85166554,0.009988809777308144
590,560,105,955,44.310833333333335,66.85166554,0.00999656511576281
590,565,105,960,44.59486111111111,67.20167426,0.009989229287626881
585,570,105,960,44.69895833333333,67.20167426,0.009997504679084779
585,575,105,965,44.98298611111111,67.55168298,0.00999042432401848
580,580,105,965,45.08708333333333,67.55168298,0.009999211646008171
580,585,105,970,45.37111111111111,67.9016917,0.00999237468125897
580,590,105,975,45.65513888888889,68.25170042,0.009985644945731932
575,595,105,975,45.759236111111115,68.25170042,0.00999506186217752
575,600,100,975,45.496180555555554,68.2517004,0.009999149868411283
570,605,100,975,45.60027777777778,68.2517004,0.009998468964372877
570,610,100,980,45.88430555555556,68.60170912,0.009992182586807338
570,615,100,985,46.16833333333334,68.95171784,0.009985991105363318
565,620,100,985,46.27243055555556,68.95171784,0.009996501019522172
565,625,100,990,46.55645833333333,69.30172656,0.009990511889441108
565,630,100,995,46.84048611111111,69.65173528,0.009984611173867744
560,635,100,995,46.944583333333334,69.65173528,0.009995705180700868
560,640,100,1000,47.228611111111114,70.001744,0.009989993869170152
560,645,100,1005,47.51263888888889,70.35175272,0.00998436505311292
555,650,100,1005,47.61673611111111,70.35175272,0.009996029301922947
555,655,100,1010,47.90076388888889,70.70176144,0.00999057803441773
555,660,100,1015,48.18479166666667,71.05177016,0.009985203846373348
550,665,100,1015,48.28888888888889,71.05177016,0.009997426278894593
550,670,100,1020,48.572916666666664,71.40177888,0.009992218762448905
550,675,100,1025,48.856944444444444,71.7517876,0.009987083360334105
545,680,100,1025,48.96104166666667,71.7517876,0.009999853555420626
545,685,100,1030,49.24506944444445,72.10179632,0.009994874827089134
545,690,100,1035,49.52909722222222,72.45180504,0.009989963653062577
545,695,100,1040,49.813125,72.80181376,0.009985118661419393
540,700,100,1040,49.91722222222222,72.80181376,0.009998508985021838
540,705,100,1045,50.20125,73.15182248,0.009993808637713219
540,710,100,1050,50.485277777777775,73.5018312,0.009989170388297174
540,715,100,1055,50.769305555555555,73.85183992,0.00998459300897498
535,720,100,1055,50.87340277777778,73.85183992,0.009998585734331308
535,725,100,1060,51.15743055555556,74.20184864,0.009994142187931774
535,730,100,1065,51.44145833333334,74.55185736,0.009989755842316435
535,735,100,1070,51.72548611111111,74.90186608,0.009985425595582634
535,740,100,1075,52.00951388888889,75.2518748,0.009981150374054023
530,745,100,1075,52.11361111111111,75.2518748,0.00999579943593708
530,750,100,1080,52.39763888888889,75.60188352,0.009991646070865112
530,755,100,1085,52.681666666666665,75.95189224,0.009987544507626994
530,760,100,1090,52.965694444444445,76.30190096,0.009983493779442826
525,765,100,1090,53.06979166666667,76.30190096,0.009998712689512908
525,770,100,1095,53.35381944444445,76.65190968,0.009994775223750895
525,775,100,1100,53.63784722222222,77.0019184,0.009990885679719327
