run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m009,golovin,golovin_controlled_resolution_convergence_v1,controlled,29,9,not_applicable,2618832516911151638,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.615831686460297e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m010,golovin,golovin_controlled_resolution_convergence_v1,controlled,30,10,not_applicable,4166047369804868107,1024,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,8.227257430881707e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m011,golovin,golovin_controlled_resolution_convergence_v1,controlled,31,11,not_applicable,9811146581406866409,1024,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,7.274583824212755e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m012,golovin,golovin_controlled_resolution_convergence_v1,controlled,32,12,not_applicable,9247231400426314786,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.3347683736064653e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m013,golovin,golovin_controlled_resolution_convergence_v1,controlled,33,13,not_applicable,14948382485859190884,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.7083941372675326e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m014,golovin,golovin_controlled_resolution_convergence_v1,controlled,34,14,not_applicable,15927390958544611164,1024,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,5.37713684689578e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m015,golovin,golovin_controlled_resolution_convergence_v1,controlled,35,15,not_applicable,4749589779964416480,1024,0.1,300.0,3600.0,crossed_between_outputs,3000.0,3299.999952316284,3299.999952316284,1000.0,0.1,9.542928447459076e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m016,golovin,golovin_controlled_resolution_convergence_v1,controlled,36,16,not_applicable,12605868795336325265,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.9329093881026438e-08,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m017,golovin,golovin_controlled_resolution_convergence_v1,controlled,37,17,not_applicable,15118430071661272391,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,9.83618031469291e-09,1000.0,0.99
golovin_controlled_resolution_convergence_v1_N001024_dt0p1_m018,golovin,golovin_controlled_resolution_convergence_v1,controlled,38,18,not_applicable,18304252410587937340,1024,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,6.683504416571395e-09,1000.0,0.99
