max_superdroplets,time_s,metric,ensemble_size,bootstrap_resamples,full_ensemble_size,full_ensemble_estimate,bootstrap_median,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_95ci_half_width
131072,3600.0,ensemble_mean_l1_bins_500,20,2000,100,0.007039327068442216,0.01679979935229079,0.014202340240831038,0.02001129020699172,0.002904474983080341
131072,3600.0,golovin_relative_error_radius_moment_0_m3,20,2000,100,-0.0009300800241298302,-0.00092195033090961,-0.0036766442912023033,0.0018128299334012727,0.0027447371123017882
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,20,2000,100,0.0013178598396983631,0.0011338649632542386,-0.011126089323398586,0.01381516699629735,0.01247062815984797
131072,3600.0,ensemble_mean_l1_bins_500,40,2000,100,0.007039327068442216,0.012918458832859515,0.01093909836111697,0.0151823424308744,0.0021216220348787155
131072,3600.0,golovin_relative_error_radius_moment_0_m3,40,2000,100,-0.0009300800241298302,-0.000955986058670004,-0.0026975672867216435,0.0008897486507974836,0.0017936579687595636
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,2000,100,0.0013178598396983631,0.0012435305986150044,-0.007389688015958364,0.010299003161847415,0.00884434558890289
131072,3600.0,ensemble_mean_l1_bins_500,60,2000,100,0.007039327068442216,0.011287562796448755,0.009632812403221207,0.013226097925289598,0.001796642761034195
131072,3600.0,golovin_relative_error_radius_moment_0_m3,60,2000,100,-0.0009300800241298302,-0.0009423287849737911,-0.002352903609623975,0.0005472961382079138,0.0014500998739159444
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,2000,100,0.0013178598396983631,0.0013379845507552343,-0.00587659889664275,0.009045622506155301,0.007461110701399026
131072,3600.0,ensemble_mean_l1_bins_500,80,2000,100,0.007039327068442216,0.010398428928746425,0.008963768927600634,0.012123026647484976,0.0015796288599421709
131072,3600.0,golovin_relative_error_radius_moment_0_m3,80,2000,100,-0.0009300800241298302,-0.0009261837639707865,-0.002240628204265787,0.00033802729159273257,0.0012893277479292598
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,2000,100,0.0013178598396983631,0.0013214203227882226,-0.005196520109542594,0.007514043286229921,0.006355281697886257
131072,3600.0,ensemble_mean_l1_bins_500,100,2000,100,0.007039327068442216,0.009844642881946631,0.008485947157378958,0.01130576099522636,0.0014099069189237009
131072,3600.0,golovin_relative_error_radius_moment_0_m3,100,2000,100,-0.0009300800241298302,-0.0009494786768723873,-0.0020860337940526957,0.00024219055760862029,0.001164112175830658
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,2000,100,0.0013178598396983631,0.0013121334342119267,-0.0043923557256191435,0.007286297490983512,0.005839326608301328
