lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_n_members,upper_n_members,estimated_difference_lower_minus_upper,95ci_low,95ci_high,equivalence_margin,equivalence_pass
16384,32768,3000.0,ensemble_mean_l1_bins_250,100,100,0.005197566598972107,0.0021503569857270113,0.009660027714391612,0.01,True
16384,32768,3000.0,ensemble_mean_l1_bins_500,100,100,0.0057909014449931615,0.00393373759426635,0.012130810863015084,0.01,False
16384,32768,3000.0,ensemble_mean_l1_bins_1000,100,100,0.008476240999615577,0.0064876178723687885,0.01533673815500411,0.01,False
16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,100,100,-0.0008703155526100326,-0.00446023951171572,0.002719608406495654,0.05,True
16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.007145226648336809,-0.008531993539421266,0.022822446836094884,0.05,True
16384,32768,3600.0,ensemble_mean_l1_bins_250,100,100,0.002159140789150889,0.0005274471925329938,0.009509309365738043,0.01,True
16384,32768,3600.0,ensemble_mean_l1_bins_500,100,100,0.005123080109134745,0.0032148015200484034,0.012819378890567458,0.01,False
16384,32768,3600.0,ensemble_mean_l1_bins_1000,100,100,0.007137298657639696,0.005361166155253825,0.015936012125377413,0.01,False
16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,100,100,-0.0008833642895150484,-0.004522976521658244,0.0027562479426281473,0.05,True
16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.016717309641456693,-0.003078583222932668,0.036513202505846054,0.05,True
32768,65536,600.0,ensemble_mean_l1_bins_250,100,100,0.001917824274326651,0.0004988347152653562,0.004953538064252605,0.01,True
32768,65536,600.0,ensemble_mean_l1_bins_500,100,100,0.003275225346898246,0.0019768884922086016,0.006681574515727543,0.01,True
32768,65536,600.0,ensemble_mean_l1_bins_1000,100,100,0.003464123368647841,0.0028232845411869903,0.007972371228417005,0.01,True
32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0011968786993916602,-0.0005770024937006217,0.002970759892483942,0.05,True
32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.0015693116556471762,-0.0031458483262864875,0.00628447163758084,0.05,True
32768,65536,1200.0,ensemble_mean_l1_bins_250,100,100,0.0016629828187726238,0.0004309745471621469,0.004593371875289452,0.01,True
32768,65536,1200.0,ensemble_mean_l1_bins_500,100,100,0.001716972726081489,0.0009559858266470186,0.005448231630871616,0.01,True
32768,65536,1200.0,ensemble_mean_l1_bins_1000,100,100,0.004083641925326589,0.0030324974448973302,0.008011734741279105,0.01,True
32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0002613320879481129,-0.0019731144865485968,0.0024957786624448222,0.05,True
32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.002898254624317985,-0.0037505020286657275,0.009547011277301698,0.05,True
32768,65536,1800.0,ensemble_mean_l1_bins_250,100,100,0.0008042133047804993,-0.00038521137956029134,0.0037413675123347916,0.01,True
32768,65536,1800.0,ensemble_mean_l1_bins_500,100,100,0.0010301634570923871,0.00043550770700366803,0.0046910093309421854,0.01,True
32768,65536,1800.0,ensemble_mean_l1_bins_1000,100,100,0.0019231301498594897,0.001754472978116396,0.006336853499968469,0.01,True
32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0013144739564108854,-0.0011315864329647738,0.0037605343457865446,0.05,True
32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.001921792312023036,-0.006674491585466059,0.010518076209512131,0.05,True
32768,65536,2400.0,ensemble_mean_l1_bins_250,100,100,0.0016149215052936447,0.0003230115288249714,0.004779699387864847,0.01,True
32768,65536,2400.0,ensemble_mean_l1_bins_500,100,100,0.0020857004637890204,0.0012681345895394506,0.005934957379049685,0.01,True
32768,65536,2400.0,ensemble_mean_l1_bins_1000,100,100,0.0027198284066000545,0.0022084798043838136,0.007424270086858967,0.01,True
32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0013759805610155185,-0.0012271834601292543,0.003979144582160291,0.05,True
32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,0.0008090266183283256,-0.009085244868658844,0.010703298105315494,0.05,True
32768,65536,3000.0,ensemble_mean_l1_bins_250,100,100,0.0031110272927807993,0.0013828473291708126,0.006981455588764138,0.01,True
32768,65536,3000.0,ensemble_mean_l1_bins_500,100,100,0.004709922826139041,0.002912869416828418,0.008768571083254264,0.01,True
32768,65536,3000.0,ensemble_mean_l1_bins_1000,100,100,0.005544247791090319,0.004061011520661728,0.010519599669417304,0.01,False
32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0012795593290903528,-0.0013465208563434368,0.0039056395145241427,0.05,True
32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,-0.0023424872966727,-0.014426636531054825,0.009741661937709426,0.05,True
32768,65536,3600.0,ensemble_mean_l1_bins_250,100,100,0.0025140184700543034,0.00046843130893356417,0.006937986073665253,0.01,True
32768,65536,3600.0,ensemble_mean_l1_bins_500,100,100,0.004423167085781419,0.002597398011295088,0.009333352342509597,0.01,True
32768,65536,3600.0,ensemble_mean_l1_bins_1000,100,100,0.008158653659233864,0.005915076923175643,0.013325020138139057,0.01,False
32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,100,100,0.0014226975248670015,-0.0012727213170593953,0.004118116366793398,0.05,True
32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,100,-0.004719256041923263,-0.020027161212104905,0.010588649128258376,0.05,True
65536,131072,600.0,ensemble_mean_l1_bins_250,100,100,0.001433611879387944,0.000475150939163054,0.003527117392158994,0.01,True
