max_superdroplets,time_s,metric,minimum_members,maximum_members,fitted_log_variance_slope,slope_deviation_from_minus_one,fitted_log_variance_r_squared,minimum_variance_coefficient,maximum_variance_coefficient,coefficient_max_to_min_ratio,coefficient_relative_range,point_estimate_range
131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.6663914515209152,0.33360854847908483,0.956574229328339,0.0002184264466865245,0.0002998415223579455,1.3727345150116559,0.29933426535143726,0.000688737154339054
131072,2400.0,ensemble_mean_l1,40,100,-1.3888620448204054,-0.38886204482040543,0.9989509967788511,2.0630507907551945e-05,2.9068456922758304e-05,1.409003455126647,0.3510927293923506,0.0013101436872540667
131072,2400.0,golovin_relative_error_radius_moment_0_m3,40,100,-1.1996170334362541,-0.19961703343625414,0.9803313810593934,3.093967532926835e-05,3.87291425368849e-05,1.2517630558407271,0.23323489868406114,0.0008574433169105378
131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.8608988537343317,0.13910114626566827,0.99414303082829,0.0003742719717625602,0.0004275236596011443,1.1422807259325505,0.12992273950268038,0.002806072901371383
131072,3000.0,ensemble_mean_l1,40,100,-1.519714197190624,-0.5197141971906241,0.9979964547996065,2.9556071541258712e-05,4.6742224113581406e-05,1.5814762137225082,0.4747874966631164,0.0036644020170678183
131072,3000.0,golovin_relative_error_radius_moment_0_m3,40,100,-1.2285728699745961,-0.22857286997459614,0.9875164487067284,3.227213996812979e-05,4.096046654064397e-05,1.2692206522745098,0.24652453092192192,0.0007126054453589669
131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.9783723054045383,0.021627694595461655,0.9989663068554245,0.0005466375141331553,0.0005652647743117573,1.0340760736264885,0.03337858852979672,0.0021243154527384282
131072,3600.0,ensemble_mean_l1,40,100,-1.3079534854191122,-0.30795348541911216,0.9889406636180418,4.94347433467817e-05,6.567190020819998e-05,1.3284563803136513,0.29904158825241517,0.0037341633608276885
131072,3600.0,golovin_relative_error_radius_moment_0_m3,40,100,-1.2265403670189117,-0.22654036701891167,0.9870754774564791,3.386570347364088e-05,4.290360302117162e-05,1.266874702737692,0.2448822900472746,0.0007852567336982486
131072,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,100,-0.925903223770497,0.07409677622950295,0.9866094910977499,0.0008101966177974029,0.0009146096908717067,1.1288737459286868,0.12276794142028336,0.0023787494473514158
