max_superdroplets,time_s,metric,ensemble_members,point_estimate,bootstrap_variance_of_estimate,variance_coefficient_n_times_variance
65536,600.0,ensemble_mean_l1,40,0.0109188977529697,1.7712981155659035e-06,7.085192462263614e-05
65536,600.0,golovin_relative_error_radius_moment_0_m3,40,-0.0007844888775560444,4.231858175909504e-07,1.6927432703638015e-05
65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.002423054231127575,5.270235443153281e-06,0.00021080941772613123
65536,600.0,ensemble_mean_l1,60,0.008315278869523823,9.603513353077643e-07,5.7621080118465853e-05
65536,600.0,golovin_relative_error_radius_moment_0_m3,60,-0.0003073149654494104,2.8928069203301573e-07,1.7356841521980945e-05
65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.003204579054287691,3.5216032284262174e-06,0.00021129619370557304
65536,600.0,ensemble_mean_l1,80,0.006454271558132132,6.221512175300466e-07,4.9772097402403726e-05
65536,600.0,golovin_relative_error_radius_moment_0_m3,80,-0.0005293401247998292,2.2045545954005304e-07,1.7636436763204242e-05
65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0029134331538023723,2.6157394676048145e-06,0.00020925915740838515
65536,600.0,ensemble_mean_l1,100,0.006019151139927062,4.2506617311443947e-07,4.250661731144395e-05
65536,600.0,golovin_relative_error_radius_moment_0_m3,100,-0.0003102140745708781,1.9600287780298844e-07,1.9600287780298844e-05
65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0021359445070887016,2.12782813426423e-06,0.00021278281342642302
65536,1200.0,ensemble_mean_l1,40,0.011308372396029734,1.3902723975334556e-06,5.561089590133823e-05
65536,1200.0,golovin_relative_error_radius_moment_0_m3,40,-0.0005276838825100827,7.850690733689119e-07,3.1402762934756477e-05
65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.0031429873798204722,9.407030848546023e-06,0.0003762812339418409
65536,1200.0,ensemble_mean_l1,60,0.008844250065525397,7.885404653039407e-07,4.7312427918236446e-05
65536,1200.0,golovin_relative_error_radius_moment_0_m3,60,-0.00012602858071302975,4.848047320363933e-07,2.90882839221836e-05
65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.0051380497084184485,6.9541169181209095e-06,0.00041724701508725456
65536,1200.0,ensemble_mean_l1,80,0.007578152414909739,5.703316195209585e-07,4.562652956167668e-05
65536,1200.0,golovin_relative_error_radius_moment_0_m3,80,-0.0001474540357575202,4.456128616657161e-07,3.564902893325729e-05
65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0034023822993637875,5.2098986471566415e-06,0.0004167918917725313
65536,1200.0,ensemble_mean_l1,100,0.007204346161711551,4.294254230440449e-07,4.294254230440449e-05
65536,1200.0,golovin_relative_error_radius_moment_0_m3,100,-0.00016829472168030768,3.606035878011944e-07,3.606035878011944e-05
65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.002541858617251641,3.970923907261162e-06,0.0003970923907261162
65536,1800.0,ensemble_mean_l1,40,0.013318040029272863,1.3208707237417187e-06,5.283482894966875e-05
65536,1800.0,golovin_relative_error_radius_moment_0_m3,40,-0.0008297851358353952,8.896281300269006e-07,3.558512520107602e-05
65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.004456462608265701,9.80439408949691e-06,0.00039217576357987644
65536,1800.0,ensemble_mean_l1,60,0.011455162308425198,6.983211096658459e-07,4.1899266579950754e-05
65536,1800.0,golovin_relative_error_radius_moment_0_m3,60,-0.0005900125234390985,5.389917844147398e-07,3.233950706488439e-05
65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.00653418387421202,8.31223118467595e-06,0.000498733871080557
65536,1800.0,ensemble_mean_l1,80,0.01066980942340354,5.385482169720852e-07,4.308385735776681e-05
65536,1800.0,golovin_relative_error_radius_moment_0_m3,80,-0.0007306855920555424,5.017273375394058e-07,4.0138187003152466e-05
65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.0036182566849304472,6.3058660247179956e-06,0.0005044692819774397
65536,1800.0,ensemble_mean_l1,100,0.01022979846994103,4.3821753162065795e-07,4.3821753162065795e-05
65536,1800.0,golovin_relative_error_radius_moment_0_m3,100,-0.0006974590383142853,4.2845238821590773e-07,4.284523882159077e-05
65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.0029212121998885374,5.306953363251237e-06,0.0005306953363251238
65536,2400.0,ensemble_mean_l1,40,0.013315589434888144,1.3944466039397266e-06,5.5777864157589065e-05
65536,2400.0,golovin_relative_error_radius_moment_0_m3,40,-0.0012572038444840171,1.2455985457870102e-06,4.982394183148041e-05
65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.004130766921260518,1.9559032348940486e-05,0.0007823612939576194
65536,2400.0,ensemble_mean_l1,60,0.011184939962752686,9.028588151436855e-07,5.417152890862113e-05
65536,2400.0,golovin_relative_error_radius_moment_0_m3,60,-0.000745672799492845,7.555197407161504e-07,4.5331184442969026e-05
65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.006901514140327554,1.4712856278090182e-05,0.0008827713766854109
65536,2400.0,ensemble_mean_l1,80,0.00962733027527705,6.228187701034091e-07,4.9825501608272725e-05
65536,2400.0,golovin_relative_error_radius_moment_0_m3,80,-0.0009883480637174035,6.153288530121131e-07,4.922630824096905e-05
65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.005243534786473693,1.0181788299255387e-05,0.0008145430639404309
65536,2400.0,ensemble_mean_l1,100,0.008654185558312521,4.97096443337275e-07,4.9709644333727494e-05
65536,2400.0,golovin_relative_error_radius_moment_0_m3,100,-0.000812743383218264,5.131033517750697e-07,5.131033517750697e-05
65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.003803361689265714,8.314981294513285e-06,0.0008314981294513285
65536,3000.0,ensemble_mean_l1,40,0.012169296137586983,2.0929590754704544e-06,8.371836301881817e-05
65536,3000.0,golovin_relative_error_radius_moment_0_m3,40,-0.0013957646983148025,1.3037937427682693e-06,5.2151749710730775e-05
65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.004597095733328746,3.4623355189716225e-05,0.001384934207588649
65536,3000.0,ensemble_mean_l1,60,0.011707737921822002,1.5930092880215844e-06,9.558055728129506e-05
65536,3000.0,golovin_relative_error_radius_moment_0_m3,60,-0.0007188941917639802,8.313449092439165e-07,4.9880694554634994e-05
65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.004898841039207874,2.1733260358027194e-05,0.0013039956214816316
65536,3000.0,ensemble_mean_l1,80,0.009123707843057603,9.886132363776406e-07,7.908905891021125e-05
65536,3000.0,golovin_relative_error_radius_moment_0_m3,80,-0.001115074388202096,6.622648170367733e-07,5.298118536294186e-05
65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.004802201611894269,1.5248414479729103e-05,0.0012198731583783283
65536,3000.0,ensemble_mean_l1,100,0.007762083981354202,7.341114894631442e-07,7.341114894631442e-05
65536,3000.0,golovin_relative_error_radius_moment_0_m3,100,-0.001040449142966453,5.411225448904395e-07,5.411225448904395e-05
65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.004435763002215522,1.1462543549651511e-05,0.001146254354965151
65536,3600.0,ensemble_mean_l1,40,0.01666897247630448,3.121528646333156e-06,0.00012486114585332623
65536,3600.0,golovin_relative_error_radius_moment_0_m3,40,-0.001492409089088706,1.2316832105077802e-06,4.926732842031121e-05
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.0058871201685512745,4.876028711752253e-05,0.0019504114847009011
65536,3600.0,ensemble_mean_l1,60,0.013253129742344497,1.7998990960419186e-06,0.00010799394576251512
65536,3600.0,golovin_relative_error_radius_moment_0_m3,60,-0.0008962174258742258,8.671822993881059e-07,5.2030937963286354e-05
65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.004177020168322367,3.0087671128597224e-05,0.0018052602677158334
65536,3600.0,ensemble_mean_l1,80,0.010445352261212277,1.2044121343407032e-06,9.635297074725625e-05
65536,3600.0,golovin_relative_error_radius_moment_0_m3,80,-0.0013930295977548648,6.984014858702338e-07,5.58721188696187e-05
