lower_max_superdroplets,upper_max_superdroplets,time_s,metric,ensemble_members_each,absolute_point_change,percentile_bootstrap_one_sided_upper_bound,normal_approximation_one_sided_upper_bound,normal_minus_percentile_bound
65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.003294452790347918,0.008166059822219221,0.008083205736116688,-8.285408610253335e-05
65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0018183907002209763,0.005997852573534418,0.0059562813896389556,-4.157118389546202e-05
65536,131072,1800.0,ensemble_mean_l1,40,0.0024539974246114704,0.006156328852263664,0.004798852582433195,-0.0013574762698304694
65536,131072,1800.0,ensemble_mean_l1,60,0.0012747507382391155,0.0040539740359207274,0.003015876784254471,-0.0010380972516662564
65536,131072,1800.0,ensemble_mean_l1,80,0.0011928467098816734,0.0034579463772378134,0.0026679985382259243,-0.0007899478390118891
65536,131072,1800.0,ensemble_mean_l1,100,0.001354496521880532,0.0034619490361691486,0.002673056563541917,-0.0007888924726272314
65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,40,0.0006273177882396203,0.0029004181256133098,0.002845791634542517,-5.4626491070792864e-05
65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,60,0.0006349420461229586,0.0023185484663789963,0.0023208714951207556,2.3230287417592282e-06
65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,80,0.00022630137107580858,0.0018899435431713038,0.0017643237727095079,-0.00012561977046179592
65536,131072,1800.0,golovin_relative_error_radius_moment_0_m3,100,0.00012106449846090107,0.001685063966610496,0.0015230051349186514,-0.0001620588316918446
65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.0034577721930428846,0.010031731688150252,0.009884300830344774,-0.00014743085780547817
65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.006224230613328258,0.01210087124569084,0.012161936536928417,6.10652912375765e-05
65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.0026531237405350446,0.007765869478081771,0.007825314279805474,5.9444801723702693e-05
65536,131072,1800.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.002107265001886106,0.006831502064186705,0.006847574655690322,1.6072591503616708e-05
65536,131072,2400.0,ensemble_mean_l1,40,0.004738218825381509,0.00794629718700369,0.007133815873107876,-0.0008124813138958142
65536,131072,2400.0,ensemble_mean_l1,60,0.0032314436076885163,0.006030719652391217,0.005119223072384654,-0.0009114965800065631
65536,131072,2400.0,ensemble_mean_l1,80,0.0018515752253763776,0.0043484941264090235,0.0034055082912763128,-0.0009429858351327107
65536,131072,2400.0,ensemble_mean_l1,100,0.0013869586360599527,0.0037245823652961663,0.0027664815190034304,-0.0009581008462927359
65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,40,0.000364239648974063,0.002949987667065157,0.002811606692108325,-0.00013838097495683186
65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,60,0.0006476574387403216,0.0025700665150024207,0.0025075492858801316,-6.251722912228906e-05
65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,80,0.00014230338737539617,0.001990271556683987,0.0017888624968882317,-0.00020140905979575542
65536,131072,2400.0,golovin_relative_error_radius_moment_0_m3,100,4.8743206670721624e-05,0.001786435036141687,0.0015549228865840894,-0.00023151214955759755
65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.00455823377686789,0.013463948928303951,0.013403178040200237,-6.0770888103713755e-05
65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.007773522652968668,0.015429407316363858,0.015423177543111654,-6.229773252203544e-06
65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,80,0.004591850501999206,0.010906200421974507,0.011073040104830276,0.00016683968285576868
65536,131072,2400.0,golovin_relative_error_radius_moment_6_um6_m3,100,0.0018692973005354438,0.007747902257233091,0.00769459567233442,-5.3306584898670656e-05
65536,131072,3000.0,ensemble_mean_l1,40,0.0027267014702382943,0.0077128940408478595,0.005697251871820078,-0.002015642169027781
65536,131072,3000.0,ensemble_mean_l1,60,0.003995679526034467,0.007318124759958004,0.006443991292816559,-0.0008741334671414453
65536,131072,3000.0,ensemble_mean_l1,80,0.0024975750405348595,0.005452906809267062,0.004428346977202334,-0.0010245598320647274
65536,131072,3000.0,ensemble_mean_l1,100,0.0019838913310733317,0.004678668425268129,0.0036529697875173437,-0.0010256986377507856
65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,40,0.00014941884630936537,0.0030604144248627184,0.0026589962369033644,-0.000401418187959354
65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,60,0.0007031048870553371,0.0026737579189180494,0.0026482863554037,-2.5471563514349333e-05
65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,80,3.3127311111381865e-05,0.001988497718702933,0.0017311282544611919,-0.0002573694642417413
65536,131072,3000.0,golovin_relative_error_radius_moment_0_m3,100,0.00020787104370125202,0.0019058345098070452,0.0017493255629218453,-0.0001565089468851999
65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,40,0.006688127508249758,0.018336274069038417,0.018118297266197618,-0.00021797680284079898
65536,131072,3000.0,golovin_relative_error_radius_moment_6_um6_m3,60,0.006431511889383484,0.015570176378926907,0.015612438883101315,4.226250417440833e-05
