lower_max_superdroplets,upper_max_superdroplets,time_s,log_radius_bins,projected_members_each_resolution,estimate_held_fixed,projected_95ci_low,projected_95ci_high,projected_largest_absolute_interval_edge,equivalence_margin,projected_equivalence_pass,projection_method
16384,32768,1200.0,1000,100,0.0056107889230538645,0.00413045601231076,0.011261224293092321,0.011261224293092321,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,150,0.0056107889230538645,0.004402102162797331,0.010224350083443355,0.010224350083443355,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,200,0.0056107889230538645,0.004564035483453795,0.009606250089864377,0.009606250089864377,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,300,0.0056107889230538645,0.004756118318546071,0.00887306930498415,0.00887306930498415,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,400,0.0056107889230538645,0.004870622467682313,0.008436006608073093,0.008436006608073093,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,600,0.0056107889230538645,0.005006445542925598,0.007917569503248609,0.007917569503248609,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,800,0.0056107889230538645,0.00508741220325383,0.0076085195064591205,0.0076085195064591205,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,1000,0.0056107889230538645,0.005142666553728369,0.007397613477143651,0.007397613477143651,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,1500,0.0056107889230538645,0.005228568609043811,0.007069725062185884,0.007069725062185884,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,2000,0.0056107889230538645,0.005279776421278693,0.006874264682041381,0.006874264682041381,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1200.0,1000,2500,0.0056107889230538645,0.005314722340905243,0.006740875997061556,0.006740875997061556,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,100,0.0024869951989936745,0.0011837817853152881,0.006839607680542308,0.006839607680542308,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,150,0.0024869951989936745,0.0014229259025061217,0.006040888408281479,0.006040888408281479,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,200,0.0024869951989936745,0.0015654841568484182,0.00556475700057392,0.00556475700057392,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,300,0.0024869951989936745,0.001734584583794927,0.004999977186893903,0.004999977186893903,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,400,0.0024869951989936745,0.0018353884921544813,0.004663301439767991,0.004663301439767991,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,600,0.0024869951989936745,0.0019549605507498983,0.004263941803637577,0.004263941803637577,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,800,0.0024869951989936745,0.002026239677921046,0.004025876099783797,0.004025876099783797,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,1000,0.0024869951989936745,0.0020748829325429813,0.0038634121203708046,0.0038634121203708046,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,1500,0.0024869951989936745,0.002150506942478307,0.0036108349092291675,0.0036108349092291675,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,2000,0.0024869951989936745,0.002195587820776232,0.0034602689378393538,0.0034602689378393538,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,250,2500,0.0024869951989936745,0.0022263525162579973,0.003357517695303401,0.003357517695303401,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,100,0.005758083675983527,0.003884844635763691,0.009993355910389823,0.009993355910389823,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,150,0.005758083675983527,0.004228590404383696,0.009216168974674399,0.009216168974674399,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,200,0.005758083675983527,0.004433503647860701,0.00875287339310332,0.00875287339310332,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,300,0.005758083675983527,0.004676568611856088,0.008203319240609349,0.008203319240609349,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,400,0.005758083675983527,0.004821464155873608,0.007875719793186676,0.007875719793186676,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,600,0.005758083675983527,0.004993337040183611,0.007487126325328963,0.007487126325328963,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,800,0.005758083675983527,0.005095793661922114,0.0072554785345434235,0.0072554785345434235,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,1000,0.005758083675983527,0.005165713479079282,0.007097394353142971,0.007097394353142971,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,1500,0.005758083675983527,0.005274415435567728,0.006851626264684211,0.006851626264684211,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,2000,0.005758083675983527,0.005339214692779725,0.006705119337918517,0.006705119337918517,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,500,2500,0.005758083675983527,0.005383435867939559,0.006605138122864786,0.006605138122864786,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,100,0.006264392052603299,0.005361919882609051,0.012290152680621901,0.012290152680621901,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,150,0.006264392052603299,0.00552752661142057,0.011184405002869394,0.011184405002869394,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,200,0.006264392052603299,0.005626247861368228,0.010525248254482162,0.010525248254482162,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,300,0.006264392052603299,0.005743349502320974,0.009743366573262087,0.009743366573262087,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,400,0.006264392052603299,0.005813155967606174,0.009277272366612601,0.009277272366612601,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,600,0.006264392052603299,0.0058959593320119345,0.008724398527736347,0.008724398527736347,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,800,0.006264392052603299,0.005945319956985763,0.008394820153542731,0.008394820153542731,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,1000,0.006264392052603299,0.00597900529439365,0.00816990487455384,0.00816990487455384,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,1500,0.006264392052603299,0.006031374740283073,0.007820236756639858,0.007820236756639858,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,2000,0.006264392052603299,0.00606259314061241,0.007611793090642441,0.007611793090642441,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,1800.0,1000,2500,0.006264392052603299,0.006083897618604449,0.007469544178207019,0.007469544178207019,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,100,0.0029725382646921487,0.0011901534580444153,0.007355893925684487,0.007355893925684487,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,150,0.0029725382646921487,0.0015172271641667485,0.006551533174882586,0.006551533174882586,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,200,0.0029725382646921487,0.0017122018812276629,0.006072038776932272,0.006072038776932272,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,300,0.0029725382646921487,0.0019434779167745808,0.005503269835519945,0.005503269835519945,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,400,0.0029725382646921487,0.002081345861368282,0.005164216095188318,0.005164216095188318,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,600,0.0029725382646921487,0.0022448827144294485,0.004762035719787367,0.004762035719787367,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,800,0.0029725382646921487,0.0023423700729599058,0.00452228852081221,0.00452228852081221,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,1000,0.0029725382646921487,0.0024088986991035823,0.004358677033025016,0.004358677033025016,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,1500,0.0029725382646921487,0.0025123284865134956,0.004104315829727304,0.004104315829727304,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,2000,0.0029725382646921487,0.0025739849057194336,0.003952686387445888,0.003952686387445888,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,250,2500,0.0029725382646921487,0.002616061303362602,0.0038492093968906164,0.0038492093968906164,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,100,0.004934841981008785,0.003123577053886577,0.009686701624588002,0.009686701624588002,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,150,0.004934841981008785,0.003455950360859195,0.008814719133039658,0.008814719133039658,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,200,0.004934841981008785,0.003654084268515314,0.00829491415823034,0.00829491415823034,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,300,0.004934841981008785,0.0038891076877610505,0.007678329425380565,0.007678329425380565,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,400,0.004934841981008785,0.004029209517447681,0.0073107718027983935,0.0073107718027983935,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,600,0.004934841981008785,0.00419539617093399,0.0068747805570242215,0.0068747805570242215,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,800,0.004934841981008785,0.00429446312476205,0.006614878069619563,0.006614878069619563,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,1000,0.004934841981008785,0.004362069719440279,0.006437511940523409,0.006437511940523409,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,1500,0.004934841981008785,0.0044671753877878586,0.00616176686521528,0.00616176686521528,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,2000,0.004934841981008785,0.004529830830778139,0.00599739009926689,0.00599739009926689,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,500,2500,0.004934841981008785,0.004572588995584343,0.005885213909724628,0.005885213909724628,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,100,0.00820894346358288,0.006456901670820424,0.013471950518961972,0.013471950518961972,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,150,0.00820894346358288,0.00677840733014985,0.012506170729698408,0.012506170729698408,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,200,0.00820894346358288,0.006970062830998311,0.01193045144187408,0.01193045144187408,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,300,0.00820894346358288,0.007197401662900001,0.011247542003752898,0.011247542003752898,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,400,0.00820894346358288,0.007332922567201652,0.010840446991272425,0.010840446991272425,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,600,0.00820894346358288,0.007493675396866365,0.010357557096640643,0.010357557096640643,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,800,0.00820894346358288,0.007589503147290596,0.01006969745272848,0.01006969745272848,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,1000,0.00820894346358288,0.007654899201489472,0.009873252427236266,0.009873252427236266,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,1500,0.00820894346358288,0.007756568217900988,0.009567846042013238,0.009567846042013238,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,2000,0.00820894346358288,0.007817175008779135,0.009385787617771745,0.009385787617771745,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,2400.0,1000,2500,0.00820894346358288,0.007858535105030389,0.009261544874658698,0.009261544874658698,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,100,0.005197566598972107,0.0021503569857270113,0.009660027714391612,0.009660027714391612,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,150,0.005197566598972107,0.002709530368387388,0.008841150842235058,0.008841150842235058,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,200,0.005197566598972107,0.003042864017749663,0.008353003114466524,0.008353003114466524,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,300,0.005197566598972107,0.003438259308487836,0.007773969725207795,0.007773969725207795,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,400,0.005197566598972107,0.003673961792349559,0.007428797156681859,0.007428797156681859,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,600,0.005197566598972107,0.003953548483679748,0.007019358720603584,0.007019358720603584,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,800,0.005197566598972107,0.004120215308360885,0.006775284856719316,0.006775284856719316,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,1000,0.005197566598972107,0.004233954310390578,0.006608720708438223,0.006608720708438223,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,1500,0.005197566598972107,0.004410780460005347,0.006349769104513301,0.006349769104513301,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,2000,0.005197566598972107,0.004516189815281419,0.006195403239074862,0.006195403239074862,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,250,2500,0.005197566598972107,0.004588124676323088,0.006090058822056008,0.006090058822056008,0.01,True,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,100,0.0057909014449931615,0.00393373759426635,0.012130810863015084,0.012130810863015084,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,150,0.0057909014449931615,0.00427453351065215,0.01096741580819955,0.01096741580819955,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
16384,32768,3000.0,500,200,0.0057909014449931615,0.004477688292369712,0.01027389438658492,0.01027389438658492,0.01,False,observed_95ci_scaled_by_sqrt_100_over_n
