run_label,kernel,matrix_stage,initialization_family,matrix_case_index,member_index,initialization_seed,collision_seed,max_superdroplets,collision_timestep_s,observation_timestep_s,end_time_s,tail_onset_status,tail_onset_lower_bound_s,tail_onset_upper_bound_s,tail_onset_first_recorded_crossing_s,onset_radius_threshold_um,onset_mass_fraction,maximum_absolute_liquid_mass_drift,large_drop_threshold_um,mass_weighted_radius_quantile
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m029,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,29,29,not_applicable,16418298250450829876,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.4689740252270553e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m030,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,30,30,not_applicable,18073632933221564431,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.0224172054005294e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m031,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,31,31,not_applicable,12197310643715884401,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.428903078666167e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m032,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,32,32,not_applicable,9095855655119433351,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.7506601441018574e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m033,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,33,33,not_applicable,9006591315595256362,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.945620997645392e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m034,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,34,34,not_applicable,14744414377763087897,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.547216437776001e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m035,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,35,35,not_applicable,4143819578186359383,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,3.6181276863445078e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m036,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,36,36,not_applicable,17186520627103302607,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.6804376496158966e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m037,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,37,37,not_applicable,3285007672859005173,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,2.688107292314612e-09,1000.0,0.99
golovin_controlled_high_resolution_convergence_v1_N016384_dt0p1_m038,golovin,golovin_controlled_high_resolution_convergence_v1,controlled,38,38,not_applicable,17994293222389447115,16384,0.1,300.0,3600.0,crossed_between_outputs,2700.000047683716,3000.0,3000.0,1000.0,0.1,1.977163432975715e-09,1000.0,0.99
